"Lon" "Lat" "Scenario" "initial_recruitment_BNE" "initial_recruitment_IBS" "initial_recruitment_TeBS" "initial_recruitment_Tundra" "initial_recruitment_otherC" "recruitment_ten_years_BNE" "recruitment_ten_years_IBS" "recruitment_ten_years_TeBS" "recruitment_ten_years_Tundra" "recruitment_ten_years_otherC" "previous_state_BNE" "previous_state_IBS" "previous_state_TeBS" "previous_state_Tundra" "previous_state_otherC"
"1" -158.75 63.75 "Control" 7 0 0 10 0 168 0 0 170 1 1.53 0 0 0.03 0.36
"2" -122.75 61.25 "Control" 40 2 0 29 4 200 2 0 142 5 2.5 2.98 0 0 2.74
"3" -121.75 62.25 "Control" 20 1 0 35 6 128 1 0 175 6 0 0 0 0 8.27
"4" -108.75 55.75 "Control" 27 7 0 31 2 153 9 0 168 3 3.5 2.95 0 0 1.88
"5" -87.75 49.25 "Control" 35 1 0 33 4 179 1 0 184 9 0 0.02 0 0.41 0.03
"6" -87.25 52.75 "Control" 24 0 0 21 0 228 0 0 218 1 1.53 0.01 0 0.09 0.36
"7" 14.75 61.75 "Control" 43 0 0 19 0 447 0 0 174 11 3.31 0 0 0 1.03
"8" 24.25 68.25 "Control" 5 0 0 5 0 178 0 0 173 3 1.44 0 0 0.14 0.21
"9" 36.75 59.25 "Control" 25 1 0 25 1 197 2 0 172 3 0.28 9.72 0 0 0.19
"10" 46.25 57.25 "Control" 14 5 0 25 0 101 7 0 147 0 0.33 4.44 0 0.22 0.9
"11" 54.25 57.75 "Control" 29 1 0 23 0 233 2 0 147 0 0.38 3.17 0 0.33 0.94
"12" 57.25 64.75 "Control" 9 0 0 17 0 104 0 0 148 4 1.33 0 0 0.2 0.1
"13" 58.25 60.75 "Control" 22 0 0 14 0 214 0 0 142 5 3.19 0 0 0.15 0.69
"14" 60.25 64.25 "Control" 8 0 0 18 0 35 0 0 89 0 0.06 0.01 0 0.41 0.03
"15" 61.25 56.75 "Control" 19 2 0 37 1 143 14 0 216 5 0.15 5.43 0 0.32 0.46
"16" 65.25 57.75 "Control" 9 1 0 34 0 93 22 0 236 5 0.21 7.86 0 0.2 0
"17" 71.25 57.75 "Control" 31 0 0 25 0 242 12 0 154 2 2.54 0.88 0 0.01 0
"18" 73.75 59.25 "Control" 15 0 0 17 0 156 5 0 171 3 0.35 0.1 0 0.43 0.22
"19" 76.25 64.75 "Control" 19 0 0 25 0 100 0 0 154 2 1.09 0 0 0.09 0
"20" 80.25 58.25 "Control" 32 2 0 31 1 257 21 0 215 10 0.11 5.31 0 0.05 0.28
"21" 136.75 50.75 "Control" 52 7 0 72 9 318 7 0 298 14 2.11 0 0 0 1.39
"22" -157.25 65.25 "Control" 21 0 0 17 85 301 1 0 199 88 3.62 0 0 0.11 0.24
"23" -156.75 57.25 "Control" 0 0 0 12 0 70 0 0 159 0 0.09 0 0 0.3 0.09
"24" -142.25 67.25 "Control" 21 85 0 32 85 189 85 0 331 765 0.16 0 0 0.18 0.31
"25" -103.25 52.25 "Control" 16 5 0 30 0 94 5 0 149 0 0.75 9.26 0 0.03 0
"26" -101.75 55.75 "Control" 29 2 0 46 2 191 2 0 245 2 0.57 0.2 0 0.45 0.41
"27" -90.75 50.25 "Control" 65 0 0 40 8 323 0 0 201 10 1.94 0.58 0 0.04 1.7
"28" -84.75 53.25 "Control" 36 1 0 49 1 168 1 0 227 1 0.47 0.13 0 0.19 0.44
"29" -63.25 49.75 "Control" 45 0 1 23 3 289 0 9 151 10 5.56 0 0 0.07 0
"30" -20.25 63.75 "Control" 69 0 0 30 11 574 0 0 224 125 0.01 0.01 0 0.48 0.05
"31" 8.75 59.25 "Control" 54 0 0 18 2 349 0 0 156 10 9.68 0 0 0 0.53
"32" 14.75 63.25 "Control" 58 0 0 18 2 421 0 0 172 13 4.57 0 0 0 2.77
"33" 24.75 62.25 "Control" 1 0 13 19 0 7 0 185 148 1 0 0 9.86 0 0
"34" 32.25 67.25 "Control" 15 0 0 14 0 250 0 0 202 0 2.54 0 0 0.03 0.08
"35" 39.25 58.25 "Control" 27 1 0 21 0 151 2 0 142 0 5.77 2.71 0 0 0
"36" 41.25 59.75 "Control" 30 0 0 30 1 164 1 0 200 1 7.44 0 0 0.24 0
"37" 43.75 58.25 "Control" 26 1 0 26 0 193 2 0 198 1 0.02 12.07 0 0.16 0.1
"38" 56.75 64.75 "Control" 33 0 0 28 1 169 0 0 154 2 0.98 0 0 0.16 0.16
"39" 59.25 60.25 "Control" 41 0 0 31 0 276 0 0 204 2 0.51 0 0 0.17 0.14
"40" 67.75 58.75 "Control" 23 14 0 53 2 96 16 0 173 3 0.01 0.03 0 0.54 0.04
"41" 90.25 60.25 "Control" 44 1 0 41 23 199 1 0 199 41 0.23 0.04 0 0.39 0.29
"42" 96.25 57.75 "Control" 31 5 0 44 26 141 9 0 197 42 0.03 0.05 0 0.51 0.13
"43" 97.75 56.75 "Control" 12 10 0 42 15 39 16 0 163 21 1.15 0.02 0 0.24 0.14
"44" 142.25 47.75 "Control" 43 0 0 18 0 444 0 0 136 14 5.35 0.1 0 0 2.38
"45" 161.75 57.25 "Control" 74 0 0 41 9 367 0 0 160 14 1.15 0 0 0.03 0.24
"46" -162.25 62.75 "Control" 0 0 0 10 0 0 0 0 104 0 0.03 0 0 0.16 0.05
"47" -157.75 65.75 "Control" 0 1 0 33 0 0 1 0 170 0 0.11 0 0 0.26 0
"48" -109.75 59.75 "Control" 36 0 0 31 3 180 0 0 161 3 4.31 0 0 0 3.02
"49" -106.25 56.75 "Control" 37 0 0 29 2 257 0 0 204 3 0.83 0.13 0 0.48 0.62
"50" -105.25 54.75 "Control" 27 0 0 24 1 194 0 0 153 2 0.04 0.04 0 0.48 0.06
"51" -102.75 54.75 "Control" 39 0 0 27 1 303 0 0 183 3 1.48 0.21 0 0.05 1.35
"52" -100.25 55.25 "Control" 40 0 0 27 2 247 0 0 167 4 0 0.02 0 0.34 0.03
"53" 13.25 61.75 "Control" 63 0 0 24 1 416 0 0 182 3 0.71 0 0 0.37 0.21
"54" 15.25 64.25 "Control" 53 0 0 31 1 355 0 0 241 6 4.14 0 0 0 0.24
"55" 16.75 63.75 "Control" 73 0 0 29 3 396 0 0 199 5 6.97 0 0 0 0.56
"56" 25.75 66.25 "Control" 37 1 0 25 3 158 4 0 157 5 0.55 1.85 0 0.23 1.02
"57" 28.75 63.75 "Control" 37 0 0 31 2 201 3 0 184 6 0.15 0.26 0 0.74 0.2
"58" 43.25 58.75 "Control" 36 3 0 36 2 165 7 0 153 2 0.32 3.47 0 0.42 1.01
"59" 52.75 60.75 "Control" 73 0 0 35 4 473 0 0 223 9 0.03 0.03 0 0.35 0.05
"60" 52.75 63.25 "Control" 38 0 0 27 0 248 0 0 219 4 1.29 0 0 0.03 0.23
"61" 58.75 59.75 "Control" 53 0 0 27 1 355 0 0 197 2 3.83 0 0 0 0.81
"62" 62.75 64.75 "Control" 35 0 0 28 1 150 0 0 142 1 0.04 0.01 0 0.41 0.03
"63" 77.25 62.75 "Control" 31 0 0 29 0 154 0 0 159 0 0.08 0 0 0.22 0.06
"64" 93.25 57.25 "Control" 34 10 0 34 0 203 12 0 167 0 1.79 2.2 0 0.02 1.05
"65" 93.25 59.25 "Control" 33 0 0 41 6 180 0 0 221 10 0.02 0.02 0 0.43 0.05
"66" -155.25 61.75 "Control" 39 0 0 21 1 242 0 0 225 4 2.82 0 0 0.07 0.3
"67" -154.25 59.25 "Control" 31 0 0 14 0 245 0 0 96 5 3.38 0 0 0 1.8
"68" -149.25 64.25 "Control" 52 4 0 45 7 270 4 0 214 10 0.97 3.84 0 0 2.39
"69" -130.25 60.25 "Control" 52 0 0 42 4 347 0 0 285 10 3.49 0 0 0.01 0.58
"70" -127.25 57.75 "Control" 0 0 0 39 0 0 0 0 379 0 1.17 0 0 0.17 0
"71" -105.25 58.25 "Control" 30 0 0 22 0 320 0 0 213 1 3.13 0 0 0.01 0.56
"72" -91.25 53.25 "Control" 37 0 0 23 0 300 0 0 209 1 3.83 0 0 0 1.37
"73" -69.75 50.75 "Control" 6 0 0 20 0 56 0 0 226 0 0.38 0 0 0.14 0.06
"74" -58.25 54.75 "Control" 4 1 0 20 0 35 2 0 180 0 0.04 0 0 0.16 0.04
"75" 14.75 64.25 "Control" 19 0 0 19 0 212 1 0 223 6 2.61 0 0 0.07 0.09
"76" 24.25 63.25 "Control" 20 0 2 18 3 172 1 24 167 21 0.45 0.66 0.04 0.86 1.23
"77" 34.75 66.75 "Control" 21 0 0 17 0 228 0 0 191 0 0.18 0 0 0.26 0.09
"78" 39.75 57.75 "Control" 26 1 2 22 0 154 9 18 133 0 0.23 0.62 0.21 0.66 0.43
"79" 60.75 62.75 "Control" 18 0 0 16 0 241 0 0 225 6 3.79 0 0 0.13 0.51
"80" 65.75 60.25 "Control" 27 0 0 24 0 236 0 0 180 0 0.49 1.51 0 0.42 0.73
"81" 70.25 62.75 "Control" 176 0 0 184 0 2576 0 0 3056 0 0 0.04 0 1.44 0.08
"82" 70.25 64.25 "Control" 7 0 0 10 0 135 0 0 184 1 0.03 0.01 0 0.39 0.03
"83" 101.25 54.75 "Control" 33 4 0 34 2 199 5 0 213 5 0.5 10.38 0 0.01 0.53
"84" 102.25 53.25 "Control" 34 10 0 28 2 173 16 0 174 3 0.25 10.86 0 0.19 0.44
"85" 104.25 55.25 "Control" 22 0 0 48 13 117 0 0 281 24 4.7 0 0 0 0
"86" -145.25 67.25 "Control" 57 0 0 33 5 420 0 0 268 26 1.92 0.01 0 0 1.77
"87" -134.25 61.25 "Control" 62 0 0 25 4 564 0 0 274 69 0.85 0.01 0 0.2 0.31
"88" -131.25 58.75 "Control" 0 0 0 272 0 0 0 0 5712 0 6.52 0 0 0.84 0.04
"89" -123.25 61.75 "Control" 42 0 0 29 3 285 3 0 195 18 1.22 0.57 0 0.3 1.75
"90" -107.75 55.25 "Control" 33 0 0 24 1 175 2 0 172 2 1.11 3.96 0 0.1 1.05
"91" -99.25 54.75 "Control" 39 0 0 19 0 353 1 0 166 6 0.84 0.18 0 0.47 0.59
"92" -78.75 50.25 "Control" 15 0 0 13 0 203 0 0 142 0 0.15 0.09 0 0.6 0.16
"93" -58.75 47.75 "Control" 76 0 16 31 6 515 0 24 207 30 8.63 0 0 0.02 0
"94" 19.25 66.75 "Control" 17 0 0 15 0 367 2 0 294 19 0.88 0 0 0.05 0.01
"95" 23.75 67.25 "Control" 12 0 0 16 0 182 4 0 252 3 2.94 0.81 0 0.05 1.41
"96" 31.25 63.25 "Control" 32 0 0 23 0 369 0 0 231 5 2.11 0 0 0.02 0.39
"97" 42.25 65.25 "Control" 33 0 0 30 0 341 0 0 312 10 2.08 0 0 0.05 0
"98" 46.75 64.75 "Control" 32 0 0 21 0 306 0 0 265 7 0.46 0.05 0 0.38 0.25
"99" 67.25 58.75 "Control" 18 0 0 21 0 139 1 0 149 0 0.08 1.19 0 0.83 0.3
"100" 68.75 57.75 "Control" 26 2 0 34 0 139 3 0 155 0 0.07 2.76 0 0.68 0.29
"101" 74.75 58.25 "Control" 14 4 0 37 1 72 6 0 178 1 1.34 5.3 0 0.1 0.83
"102" 81.25 61.25 "Control" 47 0 0 25 1 289 0 0 152 1 3.01 0 0 0.03 0.19
"103" 85.25 62.25 "Control" 31 0 0 35 2 132 0 0 187 2 1.92 0 0 0.17 0.06
"104" 94.25 54.25 "Control" 47 1 0 24 2 266 2 0 170 11 4.25 0 0 0.06 0.76
"105" 114.25 51.75 "Control" 19 0 0 38 8 100 0 0 151 8 4.45 0 0 0 0
"106" -155.75 61.75 "Control" 46 0 0 29 2 288 1 0 225 2 2.03 0 0 0.02 0.68
"107" -155.25 60.75 "Control" 11 0 0 17 0 149 0 0 185 2 2.25 0 0 0.13 0.03
"108" -152.25 66.75 "Control" 34 0 0 28 1 220 0 0 219 2 2.79 0 0 0 0.99
"109" -125.75 58.25 "Control" 0 0 0 47 0 0 0 0 374 0 0.97 0 0 0.19 0.8
"110" -109.75 60.25 "Control" 31 0 0 29 3 247 0 0 172 6 3.29 0 0 0 2.7
"111" -82.75 48.75 "Control" 46 0 0 28 1 295 0 0 181 1 0.4 0.02 0 0.45 0.23
"112" -82.75 49.25 "Control" 37 0 0 25 1 261 0 0 169 2 0.13 0.03 0 0.45 0.11
"113" -81.75 50.75 "Control" 24 0 0 26 0 156 0 0 147 0 0.02 0.04 0 0.55 0.05
"114" -79.75 49.25 "Control" 18 1 0 27 1 132 3 0 163 3 0.67 3.25 0 0 1.03
"115" 26.25 65.25 "Control" 55 0 0 33 3 337 0 0 241 6 0.03 0.02 0 0.57 0.05
"116" 48.25 57.25 "Control" 36 3 0 27 1 191 12 0 158 4 0.25 2.05 0 0.66 0.72
"117" 53.75 57.75 "Control" 33 2 0 30 0 233 10 0 199 1 6.13 0 0 0.04 0
"118" 64.25 60.25 "Control" 27 1 0 31 0 141 1 0 155 1 0.69 6.02 0 0.18 0.63
"119" 69.75 57.75 "Control" 17 1 0 30 1 100 5 0 168 1 0.19 9.3 0 0.19 0
"120" 80.25 62.75 "Control" 21 0 0 32 1 101 0 0 199 1 1.63 0 0 0.08 0.16
"121" 158.25 53.25 "Control" 18 0 0 30 75 211 0 0 157 84 0.12 0 0 0.34 0.13
"122" 159.75 58.75 "Control" 48 0 0 22 0 356 0 0 171 5 4.2 0 0 0 0.09
"123" -122.75 58.75 "Control" 35 4 0 26 2 194 6 0 166 3 0.2 0.32 0 0.69 0.36
"124" -101.25 52.75 "Control" 32 8 0 45 2 162 11 0 183 2 6.82 0 0 0 0
"125" -96.25 57.25 "Control" 25 0 0 41 0 152 0 0 239 0 0.02 0.01 0 0.4 0.04
"126" -85.25 51.25 "Control" 26 1 0 24 0 167 2 0 140 0 0.03 0.04 0 0.5 0.04
"127" -77.75 54.25 "Control" 18 0 0 31 0 116 0 0 250 0 0.55 0 0 0.14 0.12
"128" 28.75 66.25 "Control" 24 0 0 24 0 227 0 0 209 0 0.54 0.01 0 0.28 0.11
"129" 38.25 59.75 "Control" 23 6 0 28 1 133 9 0 176 4 1.18 10.64 0 0.04 0.42
"130" 40.25 64.25 "Control" 25 0 0 37 1 157 0 0 211 1 3.83 0 0 0.1 1.45
"131" 54.75 65.25 "Control" 88 0 0 128 0 2464 0 0 3168 32 7.12 0.04 0 0.64 0.32
"132" 69.25 57.75 "Control" 27 5 0 29 0 98 5 0 145 0 0.03 6.51 0 0.12 0.11
"133" 71.75 62.75 "Control" 26 0 0 28 0 123 0 0 143 0 2.5 0 0 0.12 0.25
"134" 112.25 52.75 "Control" 22 0 0 29 6 143 0 0 185 7 1.93 0 0 0 1.28
"135" 137.75 47.25 "Control" 21 0 0 23 0 193 0 0 236 0 2.71 0 0 0.11 0.15
"136" 139.25 53.75 "Control" 44 0 0 18 0 306 0 0 158 0 5.02 0 0 0 0.36
"137" -150.75 60.75 "Control" 67 0 0 28 2 540 0 0 184 12 6.85 0 0 0 0
"138" -143.75 67.25 "Control" 0 0 0 28 0 143 0 0 278 1 0.01 0.01 0 0.49 0.02
"139" -123.75 61.25 "Control" 32 0 0 19 0 359 0 0 164 12 0.43 0.06 0 0.46 0.36
"140" -113.75 55.75 "Control" 31 0 0 27 3 163 1 0 148 3 1.15 7.71 0 0 2.82
"141" -112.25 58.75 "Control" 42 0 0 22 3 219 0 0 115 4 3.81 0 0 0 3.83
"142" -102.25 53.75 "Control" 30 0 0 30 0 163 5 0 150 0 0.19 0.65 0 0.93 0.47
"143" -98.75 57.25 "Control" 12 0 0 18 0 155 0 0 200 0 2.56 0 0 0.13 0.39
"144" -69.75 48.75 "Control" 47 0 0 21 1 348 0 0 187 1 0.24 0.02 0 0.33 0.09
"145" -68.25 50.75 "Control" 2 0 0 10 0 54 0 0 199 0 0.96 0 0 0.1 0.09
"146" -60.25 51.75 "Control" 0 0 0 5 0 40 1 0 172 0 0.05 0 0 0.2 0.03
"147" 9.25 59.75 "Control" 74 0 0 21 5 472 0 0 158 15 1.02 0.05 0 0.45 0.55
"148" 16.25 63.25 "Control" 43 0 0 19 0 377 0 0 209 4 1.8 0 0 0.08 0.47
"149" 23.25 63.25 "Control" 108 0 432 648 108 1053 0 26973 10044 405 0.09 0.27 76.77 7.29 2.07
"150" 27.25 63.25 "Control" 31 0 0 25 6 166 1 0 153 9 0.55 6.88 0 0 1.44
"151" 28.75 67.25 "Control" 15 0 0 16 0 191 0 0 206 1 2.84 0 0 0.08 0.06
"152" 34.75 67.25 "Control" 15 0 0 16 0 256 0 0 224 7 3.43 0 0 0.05 0.02
"153" 40.25 64.75 "Control" 29 0 0 20 0 287 0 0 195 0 4.27 1.53 0 0 2.99
"154" 73.75 60.25 "Control" 25 0 0 25 0 115 5 0 130 0 3.14 0 0 0.07 0.33
"155" 77.75 64.25 "Control" 4 0 0 9 0 77 0 0 156 0 0.3 0 0 0.22 0.1
"156" 78.25 61.25 "Control" 28 0 0 21 0 148 3 0 145 1 3.01 0 0 0.03 0.06
"157" 79.75 58.75 "Control" 36 3 0 50 1 170 7 0 220 1 0.05 5.37 0 0.16 0
"158" 87.25 59.25 "Control" 31 8 0 59 1 117 8 0 174 1 0.05 0.23 0 0.58 0.13
"159" 108.25 52.75 "Control" 11 2 0 41 13 47 2 0 149 15 0 3.83 0 0.18 3.17
"160" 114.75 52.25 "Control" 14 0 0 39 9 82 0 0 233 16 0.12 0.06 0 0.49 0.27
"161" 138.75 51.75 "Control" 47 0 0 25 1 349 0 0 236 9 0.33 0.01 0 0.26 0.14
"162" -153.75 57.75 "Control" 68 0 0 20 2 619 0 0 167 36 0.18 0 0 0.39 0.08
"163" -134.75 60.75 "Control" 60 0 0 31 25 415 0 0 272 103 0.59 0.01 0 0.33 0.3
"164" -131.25 57.75 "Control" 0 0 0 21 0 0 0 0 210 0 2.61 0 0 0 2.06
"165" -124.75 59.25 "Control" 53 0 0 32 4 331 0 0 176 11 0.79 0.21 0 0.53 0.75
"166" -101.75 56.75 "Control" 48 0 0 28 2 330 0 0 195 4 2.2 0.21 0 0 1.22
"167" -94.75 56.75 "Control" 22 0 0 34 0 136 0 0 236 0 0.04 0.03 0 0.44 0.04
"168" -94.25 53.75 "Control" 43 2 0 32 2 243 3 0 182 2 2.87 0 0 0 1.19
"169" -91.25 49.75 "Control" 42 1 0 37 2 325 1 0 246 5 4.22 1.5 0 0.02 3.32
"170" -87.75 54.75 "Control" 9 0 0 17 0 88 0 0 178 0 0.43 0.08 0 0.22 0.24
"171" -66.25 52.75 "Control" 2 0 0 17 0 25 0 0 205 3 0.02 0 0 0.18 0.03
"172" 17.25 63.25 "Control" 408 0 0 176 8 6192 0 0 2768 112 30.28 0.04 0 1.44 7.44
"173" 28.75 68.25 "Control" 21 0 0 19 0 248 0 0 257 9 1.04 0 0 0.03 0.17
"174" 43.75 62.25 "Control" 50 0 0 30 0 439 0 0 213 8 0.9 0 0 0.13 0.41
"175" 64.25 64.75 "Control" 3 0 0 7 0 102 0 0 151 0 1.96 0 0 0.16 0.07
"176" 67.25 58.25 "Control" 20 0 0 28 0 108 2 0 143 0 0.03 0.12 0 0.57 0.08
"177" 75.25 61.25 "Control" 19 0 0 13 0 157 1 0 151 0 0.25 0.02 0 0.38 0.16
"178" 101.25 53.25 "Control" 24 1 0 27 2 169 3 0 228 7 3.56 0 0 0 4.19
"179" -135.25 61.75 "Control" 41 0 0 26 3 390 0 0 211 82 6.61 0 0 0 5.17
"180" -129.75 61.75 "Control" 21 0 0 8 85 174 0 0 269 170 0.44 0 0 0.13 0.21
"181" -111.75 55.25 "Control" 28 1 0 37 4 118 1 0 142 4 0.23 7.89 0 0 1.76
"182" -108.75 56.25 "Control" 46 4 0 41 7 211 5 0 156 8 0.34 2.34 0 0.49 1.16
"183" -89.75 55.25 "Control" 29 0 0 41 1 163 0 0 269 1 0.02 0.02 0 0.41 0.02
