"Lon" "Lat" "Scenario" "initial_recruitment_BNE" "initial_recruitment_IBS" "initial_recruitment_TeBS" "initial_recruitment_Tundra" "initial_recruitment_otherC" "recruitment_ten_years_BNE" "recruitment_ten_years_IBS" "recruitment_ten_years_TeBS" "recruitment_ten_years_Tundra" "recruitment_ten_years_otherC" "previous_state_BNE" "previous_state_IBS" "previous_state_TeBS" "previous_state_Tundra" "previous_state_otherC"
"1" -157.75 61.75 "Control" 11 0 0 12 0 167 0 0 199 1 1.26 0 0 0.05 0.41
"2" -90.75 52.25 "Control" 37 0 0 22 1 255 0 0 188 3 3.98 0 0 0 0.65
"3" -86.75 49.25 "Control" 37 0 0 28 0 239 0 0 168 2 1.79 0.37 0 0.16 1.19
"4" -86.75 49.75 "Control" 39 0 0 20 0 292 0 0 150 2 6.2 0 0 0 1.89
"5" -83.25 51.25 "Control" 42 2 0 36 4 171 3 0 183 6 0.08 0.02 0 0.43 0.1
"6" -80.75 48.75 "Control" 45 11 0 50 6 137 11 0 159 6 0.95 6.05 0 0.1 1.31
"7" -57.75 48.75 "Control" 58 0 1 30 3 326 0 8 168 8 0.23 0.01 0.01 0.36 0.1
"8" 14.25 60.25 "Control" 21 0 16 23 0 235 0 113 201 20 1.41 0.04 0.06 0.47 0.81
"9" 25.75 64.75 "Control" 25 0 0 15 0 390 0 0 161 10 5.54 0 0 0.13 0
"10" 26.75 63.25 "Control" 12 0 0 19 1 129 0 8 141 8 1.21 0.03 0.01 0.34 0.24
"11" 35.75 59.75 "Control" 17 0 0 24 0 124 0 0 173 1 4.47 0 0 0 1.2
"12" 39.25 57.75 "Control" 20 3 1 18 0 152 4 10 117 0 2.6 11.02 0 0 0
"13" 48.25 65.25 "Control" 28 0 0 21 0 225 0 0 202 7 3.05 0 0 0.07 0
"14" 52.75 61.25 "Control" 15 0 0 19 0 144 2 0 194 3 0.03 0.07 0 0.55 0.05
"15" 61.75 59.25 "Control" 27 0 0 26 1 213 5 0 183 6 2.56 1.28 0 0 0.91
"16" 65.75 59.75 "Control" 25 0 0 25 0 221 4 0 191 4 0.04 5.95 0 0.21 0.28
"17" 66.25 62.25 "Control" 22 0 0 13 0 245 0 0 162 3 0.02 0.01 0 0.32 0.03
"18" 67.25 62.25 "Control" 9 0 0 13 0 96 0 0 142 1 0.04 0.26 0 0.64 0.1
"19" 68.25 58.25 "Control" 28 0 0 26 0 260 7 0 191 7 0.02 0.03 0 0.45 0.05
"20" 72.25 66.25 "Control" 24 0 0 24 0 145 0 0 145 2 0.21 0 0 0.12 0.09
"21" 74.75 61.25 "Control" 12 0 0 15 0 154 0 0 171 3 0.16 0.04 0 0.42 0.15
"22" 79.25 60.25 "Control" 17 2 0 24 0 117 13 0 189 2 1.8 0 0 0.19 0
"23" 85.75 58.25 "Control" 66 0 0 37 4 462 1 0 220 22 0.03 0.02 0 0.34 0.04
"24" 112.25 51.75 "Control" 49 8 0 57 15 198 8 0 206 15 3.88 0 0 0 0.28
"25" 142.75 48.75 "Control" 61 0 0 48 5 340 0 0 206 18 5.95 0 0 0.12 1.62
"26" -149.75 66.25 "Control" 25 0 0 16 0 261 2 0 188 6 5.44 0 0 0 1.77
"27" -142.25 66.25 "Control" 21 0 0 20 85 452 0 0 233 91 0.35 0.01 0 0.32 0.14
"28" -118.25 61.25 "Control" 29 1 0 22 2 190 1 0 136 3 0.52 0.49 0 0.57 0.92
"29" -95.25 58.25 "Control" 3 0 0 46 0 16 0 0 239 0 0.01 0 0 0.24 0.02
"30" -91.25 56.25 "Control" 41 0 0 63 7 179 0 0 282 7 0.03 0.01 0 0.44 0.03
"31" -78.75 52.75 "Control" 74 0 0 36 6 323 0 0 163 7 0.04 0.02 0 0.56 0.05
"32" -75.75 53.75 "Control" 14 0 0 23 0 89 0 0 195 0 0.07 0 0 0.21 0.05
"33" 21.75 66.75 "Control" 17 0 0 18 0 250 0 0 266 4 1.08 0 0 0.07 0.21
"34" 42.75 58.75 "Control" 18 2 0 25 1 113 10 0 172 1 0.42 5.24 0 0.16 1.11
"35" 46.75 58.75 "Control" 25 1 0 21 1 150 3 0 129 4 0.11 10.38 0 0.16 0.25
"36" 46.75 63.25 "Control" 52 0 0 32 2 300 0 0 218 5 2.65 0 0 0.02 0.2
"37" 51.75 63.75 "Control" 39 0 0 41 3 158 0 0 215 4 0.37 0.1 0 0.64 0.18
"38" 61.75 59.75 "Control" 39 4 0 31 4 198 5 0 180 7 5.43 0 0 0 0.31
"39" 65.75 62.25 "Control" 48 0 0 40 3 227 0 0 207 3 0.51 0 0 0.1 0.16
"40" 72.25 60.75 "Control" 38 9 0 48 5 133 9 0 170 5 0.06 0.17 0 0.57 0.11
"41" 75.75 61.25 "Control" 50 1 0 47 7 215 1 0 186 10 0.53 0 0 0.22 0.22
"42" 94.25 54.75 "Control" 74 0 0 40 6 334 0 0 214 7 0.36 0.01 0 0.41 0.16
"43" 95.25 57.25 "Control" 29 10 0 43 3 115 14 0 166 3 0.75 6 0 0.14 0
"44" 97.25 56.25 "Control" 55 15 0 38 7 263 24 0 184 8 1.69 3.17 0 0.03 0
"45" 111.25 49.25 "Control" 30 0 0 21 2 156 0 0 128 3 0.52 1.56 0 0.21 2.69
"46" 156.75 53.25 "Control" 28 0 0 22 0 304 0 0 166 6 2.6 0 0 0.05 0
"47" -151.75 61.25 "Control" 72 0 0 33 4 388 0 0 160 7 1.25 0 0 0.19 0.22
"48" -144.75 65.75 "Control" 69 4 0 62 19 333 4 0 224 24 4.77 0 0 0 4.4
"49" -119.25 63.25 "Control" 0 0 0 384 16 0 0 0 4560 144 0.08 0 0 3.2 8.72
"50" -100.25 57.75 "Control" 25 0 0 31 1 158 0 0 239 1 1 0 0 0.1 0.25
"51" -86.75 55.25 "Control" 3 0 0 13 0 43 0 0 220 0 0.79 0 0 0.25 0.03
"52" 34.25 64.75 "Control" 33 0 0 21 0 244 0 0 187 1 2.62 0 0 0.03 0.3
"53" 48.75 56.75 "Control" 29 3 0 27 0 159 4 0 134 0 0.36 1.64 0 0.61 0.69
"54" 75.25 60.25 "Control" 17 0 0 20 0 138 0 0 145 0 0.11 0.66 0 0.95 0.27
"55" 90.25 58.75 "Control" 27 7 0 46 1 163 8 0 212 2 4.43 0 0 0.16 0
"56" 162.75 59.25 "Control" 44 0 0 22 1 319 0 0 174 9 0.71 0 0 0.08 0.12
"57" -103.25 57.75 "Control" 21 0 0 24 0 238 0 0 257 1 3.21 0 0 0.01 0.91
"58" -98.25 56.25 "Control" 23 0 0 18 0 221 0 0 195 2 1.98 0.07 0 0.09 0.8
"59" 26.25 62.75 "Control" 2 0 34 18 0 15 0 217 173 5 0.11 0.18 0.3 0.66 0.46
"60" 41.25 57.25 "Control" 29 3 1 26 1 191 14 10 153 1 5.04 8.66 0 0 0
"61" 41.25 58.25 "Control" 24 0 0 24 1 157 7 0 175 2 1.26 8.92 0 0.06 0.09
"62" 43.25 59.75 "Control" 18 0 0 24 1 118 9 0 168 2 3.23 0 0 0 0
