"Lon" "Lat" "sand_fraction" "silt_fraction" "clay_fraction" "bulkdensity_soil" "ph_soil" "soilcarbon" "time_since_dist" "Scenario"
"1" -163.75 54.75 0.57 0.365 0.065 1.105 6.26915616429432 1.370316 142 "Control"
"2" -161.25 61.75 0.238333333333333 0.438333333333333 0.323333333333333 1.25166666666667 5.36037490329211 1.395498 170 "Control"
"3" -114.75 57.25 0.47 0.353333333333333 0.176666666666667 0.308333333333333 5.41288364110832 17.225639892 108 "Control"
"4" -103.75 55.75 0.613333333333333 0.331666666666667 0.055 1.495 5.34929730693229 2.7891689704 199 "Control"
"5" -84.75 51.25 0.47 0.353333333333333 0.176666666666667 0.308333333333333 5.41288364110832 17.225639892 27 "Control"
"6" -71.25 50.25 0.613333333333333 0.331666666666667 0.055 1.495 5.34929730693229 2.7891689704 157 "Control"
"7" -62.25 50.25 0.613333333333333 0.331666666666667 0.055 1.495 5.34929730693229 2.7891689704 102 "Control"
"8" 30.75 63.25 0.613333333333333 0.331666666666667 0.055 1.495 5.34929730693229 2.7891689704 196 "Control"
"9" 34.75 60.25 0.466666666666667 0.358333333333333 0.175 1.62166666666667 6.15981304240495 0.897836 295 "Control"
"10" 42.25 59.25 0.466666666666667 0.358333333333333 0.175 1.62166666666667 6.15981304240495 0.897836 210 "Control"
"11" 57.75 63.25 0.356666666666667 0.415 0.228333333333333 1.64166666666667 5.5044497115771 1.0323599408 251 "Control"
"12" 66.75 58.75 0.341666666666667 0.346666666666667 0.311666666666667 0.17 4.56051352511204 12.877931664 87 "Control"
"13" 68.75 64.25 0.731666666666667 0.211666666666667 0.0566666666666667 1.47166666666667 5.42931421613724 1.9315059364 222 "Control"
"14" 112.75 50.75 0.731666666666667 0.211666666666667 0.0566666666666667 1.47166666666667 5.42931421613724 1.9315059364 122 "Control"
"15" 132.25 50.25 0.523333333333333 0.38 0.0966666666666667 1.48333333333333 5.46515788064764 1.8258 26 "Control"
"16" 136.75 50.75 0.523333333333333 0.38 0.0966666666666667 1.48333333333333 5.46515788064764 1.8258 56 "Control"
"17" -118.75 60.75 0.365 0.353333333333333 0.281666666666667 1.52833333333333 6.96920795900789 2.0151200488 32 "Control"
"18" -76.25 53.75 0.591666666666667 0.336666666666667 0.0716666666666667 1.425 5.99671784314841 3.4209299704 39 "Control"
"19" -75.25 52.25 0.591666666666667 0.336666666666667 0.0716666666666667 1.425 5.99671784314841 3.4209299704 79 "Control"
"20" -74.75 50.25 0.47 0.353333333333333 0.176666666666667 0.308333333333333 5.41288364110832 17.225639892 30 "Control"
"21" -70.25 51.75 0.613333333333333 0.331666666666667 0.055 1.495 5.34929730693229 2.7891689704 118 "Control"
"22" 22.75 68.25 0.613333333333333 0.331666666666667 0.055 1.495 5.34929730693229 2.7891689704 59 "Control"
"23" 23.75 67.25 0.341666666666667 0.346666666666667 0.311666666666667 0.17 4.56051352511204 12.877931664 5 "Control"
"24" 27.75 67.25 0.341666666666667 0.346666666666667 0.311666666666667 0.17 4.56051352511204 12.877931664 24 "Control"
"25" 36.25 63.25 0.731666666666667 0.211666666666667 0.0566666666666667 1.47166666666667 5.42931421613724 1.9315059364 55 "Control"
"26" 43.75 59.25 0.466666666666667 0.358333333333333 0.175 1.62166666666667 6.15981304240495 0.897836 101 "Control"
"27" 44.25 60.25 0.466666666666667 0.358333333333333 0.175 1.62166666666667 6.15981304240495 0.897836 183 "Control"
"28" 54.25 59.75 0.466666666666667 0.358333333333333 0.175 1.62166666666667 6.15981304240495 0.897836 314 "Control"
"29" 54.75 62.25 0.731666666666667 0.211666666666667 0.0566666666666667 1.47166666666667 5.42931421613724 1.9315059364 156 "Control"
"30" 58.25 54.25 0.523333333333333 0.38 0.0966666666666667 1.48333333333333 5.46515788064764 1.8258 38 "Control"
"31" 61.25 55.75 0.243333333333333 0.491666666666667 0.265 1.44666666666667 6.63807036966241 1.493238 261 "Control"
"32" 61.75 59.75 0.466666666666667 0.358333333333333 0.175 1.62166666666667 6.15981304240495 0.897836 9 "Control"
"33" 63.25 65.25 0.331666666666667 0.528333333333333 0.14 1.37166666666667 6.15758666205492 4.129435 79 "Control"
"34" 96.75 58.25 0.466666666666667 0.358333333333333 0.175 1.62166666666667 6.15981304240495 0.897836 29 "Control"
"35" 111.25 50.75 0.731666666666667 0.211666666666667 0.0566666666666667 1.47166666666667 5.42931421613724 1.9315059364 265 "Control"
"36" 161.25 54.75 0.57 0.365 0.065 1.105 6.26915616429432 1.370316 207 "Control"
"37" 161.75 57.75 0.32 0.521666666666667 0.158333333333333 1.31833333333333 6.79672330936057 5.267547067 29 "Control"
"38" -158.25 66.25 0.238333333333333 0.438333333333333 0.323333333333333 1.25166666666667 5.36037490329211 1.395498 340 "Control"
"39" -126.25 61.25 0.46 0.395 0.145 1.495 6.65868823246909 1.3293959724 19 "Control"
"40" -125.25 62.25 0.46 0.395 0.145 1.495 6.65868823246909 1.3293959724 267 "Control"
"41" -114.25 55.25 0.47 0.353333333333333 0.176666666666667 0.308333333333333 5.41288364110832 17.225639892 165 "Control"
"42" -93.25 54.25 0.405 0.376666666666667 0.218333333333333 1.575 6.45683504508497 1.1422699728 142 "Control"
"43" -87.75 52.25 0.613333333333333 0.331666666666667 0.055 1.495 5.34929730693229 2.7891689704 323 "Control"
"44" -83.75 53.75 0.41 0.455 0.135 0.266666666666667 5.17213302583092 15.547068 314 "Control"
"45" -76.75 49.25 0.613333333333333 0.331666666666667 0.055 1.495 5.34929730693229 2.7891689704 2 "Control"
"46" 10.25 63.25 0.613333333333333 0.331666666666667 0.055 1.495 5.34929730693229 2.7891689704 249 "Control"
"47" 24.25 68.25 0.341666666666667 0.346666666666667 0.311666666666667 0.17 4.56051352511204 12.877931664 64 "Control"
"48" 40.75 57.25 0.466666666666667 0.358333333333333 0.175 1.62166666666667 6.15981304240495 0.897836 211 "Control"
"49" 45.75 63.75 0.731666666666667 0.211666666666667 0.0566666666666667 1.47166666666667 5.42931421613724 1.9315059364 293 "Control"
