"Lon" "Lat" "Scenario" "initial_recruitment_BNE" "initial_recruitment_IBS" "initial_recruitment_TeBS" "initial_recruitment_Tundra" "initial_recruitment_otherC" "recruitment_ten_years_BNE" "recruitment_ten_years_IBS" "recruitment_ten_years_TeBS" "recruitment_ten_years_Tundra" "recruitment_ten_years_otherC" "previous_state_BNE" "previous_state_IBS" "previous_state_TeBS" "previous_state_Tundra" "previous_state_otherC"
"1" -118.25 58.75 "Control" 40 4 0 29 6 245 4 0 171 10 0.33 0.19 0 0.61 0.43
"2" -110.75 58.25 "Control" 46 1 0 27 2 247 1 0 125 2 0.43 1.45 0 0.64 0.76
"3" -100.25 55.75 "Control" 27 1 0 31 0 186 2 0 197 0 2.58 0 0 0.03 0.78
"4" -91.25 49.25 "Control" 46 2 0 31 4 241 4 0 204 7 1.64 0.44 0 0.12 1.41
"5" 26.75 63.25 "Control" 13 0 0 20 2 137 0 8 151 11 0.85 0.32 0.05 0.65 1.01
"6" 32.25 63.75 "Control" 17 0 0 21 0 227 0 0 253 3 2.4 0 0 0.04 0.23
"7" 38.75 60.25 "Control" 25 0 0 20 0 171 0 0 152 1 0.4 0.86 0 0.84 0.67
"8" 39.25 61.75 "Control" 16 0 0 18 0 188 0 0 181 2 4.46 0 0 0.03 0.85
"9" 46.25 57.75 "Control" 17 5 0 18 0 162 9 0 144 0 6.53 0 0 0 0
"10" 62.25 61.75 "Control" 39 0 0 24 0 358 0 0 215 4 4.95 0 0 0.01 0.63
"11" 83.25 59.75 "Control" 19 3 0 41 0 118 15 0 254 3 1.36 1.43 0 0.12 1.19
"12" 142.25 59.75 "Control" 4 0 0 19 0 98 0 0 266 4 0.46 0 0 0.05 0.16
"13" 156.75 56.75 "Control" 60 0 0 25 2 373 0 0 195 18 1.39 0 0 0.01 0.37
"14" -157.75 65.75 "Control" 21 0 0 17 85 172 2 0 182 86 0.13 0 0 0.29 0.07
"15" -155.75 63.75 "Control" 21 0 0 14 85 343 0 0 203 91 0.74 0 0 0.19 0.26
"16" -148.25 66.25 "Control" 29 0 0 18 0 187 4 0 139 2 2.97 0.56 0 0 4.22
"17" -120.25 61.75 "Control" 30 0 0 24 2 176 0 0 146 4 6.15 0 0 0 1.98
"18" -115.25 59.75 "Control" 28 0 0 21 0 209 0 0 174 0 2.35 0.57 0 0 2.88
"19" -106.75 54.75 "Control" 29 3 0 26 0 177 3 0 145 0 0.29 1.44 0 0.75 0.89
"20" -106.75 55.25 "Control" 16 2 0 29 0 92 2 0 171 0 0.23 1.48 0 0.74 0.86
"21" -102.25 56.25 "Control" 50 0 0 30 2 315 0 0 191 2 1.59 0.17 0 0.02 0.99
"22" -78.75 53.25 "Control" 55 0 0 30 2 272 0 0 177 2 5.21 0 0 0 0
"23" -74.75 50.75 "Control" 21 0 0 32 0 104 0 0 199 0 0.02 0.01 0 0.35 0.03
"24" -72.75 54.25 "Control" 0 0 0 9 0 3 0 0 185 0 0.01 0 0 0.15 0.02
"25" -59.25 52.25 "Control" 0 0 0 7 0 8 0 0 101 0 0.22 0 0 0.1 0.04
"26" 11.75 63.75 "Control" 37 0 0 14 0 405 0 0 180 4 0 0 0 0.23 0.02
"27" 22.75 63.75 "Control" 15 0 0 17 5 74 0 48 116 12 0.4 0.46 0.05 0.91 1.09
"28" 32.75 65.75 "Control" 13 0 0 16 0 165 0 0 215 1 1.03 0 0 0.04 0.19
"29" 39.25 60.25 "Control" 25 0 0 27 1 121 1 0 156 1 4.55 0 0 0.01 0.2
"30" 43.75 58.75 "Control" 34 1 0 27 0 256 5 0 200 2 0.69 0.38 0 0.72 0.55
"31" 45.25 63.75 "Control" 50 0 0 36 2 236 0 0 237 3 3.14 0 0 0.03 0.42
"32" 61.25 63.25 "Control" 26 0 0 32 0 157 0 0 206 0 1.07 0.96 0 0.01 1.01
"33" 70.25 60.75 "Control" 45 5 0 39 6 207 5 0 155 6 0.74 3.21 0 0 0.88
"34" 72.25 62.25 "Control" 40 0 0 42 3 146 0 0 169 3 1.95 0 0 0.09 0.45
"35" 76.75 62.25 "Control" 70 2 0 59 15 232 2 0 192 17 2.25 0 0 0.15 0.04
"36" 84.75 61.25 "Control" 71 1 0 61 11 285 1 0 261 16 1.05 0 0 0.07 0.28
"37" 138.25 50.75 "Control" 41 0 0 23 0 341 0 0 199 2 0.09 0.02 0 0.38 0.06
"38" -151.75 60.75 "Control" 38 0 0 24 0 404 0 0 185 7 1.36 0 0 0.23 0.43
"39" -123.25 57.25 "Control" 72 0 0 23 3 573 0 0 227 26 4.5 0 0 0.02 4.5
"40" -86.25 52.25 "Control" 17 0 0 22 0 134 0 0 194 0 0.26 0.38 0 0.55 0.26
"41" -83.75 53.25 "Control" 17 0 0 14 0 155 0 0 161 0 0.59 0.18 0 0.24 0.33
"42" -75.25 54.75 "Control" 1 0 0 16 0 13 0 0 181 0 0.1 0 0 0.15 0.03
"43" -59.25 54.25 "Control" 1 0 0 24 0 9 0 0 183 0 0.08 0 0 0.14 0.04
"44" 25.25 64.75 "Control" 70 0 0 29 7 381 0 0 168 13 6.2 0 0 0 0
"45" 33.75 59.25 "Control" 1 0 36 29 1 4 0 250 142 2 0 1.04 2.96 0 0.17
"46" 34.25 65.25 "Control" 25 0 0 21 0 236 0 0 187 1 0.18 0 0 0.36 0.15
"47" 35.25 59.25 "Control" 30 1 1 27 1 200 9 5 175 2 0.03 0.04 0.01 0.59 0.05
"48" 54.75 61.75 "Control" 64 0 0 42 6 311 0 0 215 10 5.2 0 0 0 1.89
"49" 62.25 59.75 "Control" 27 1 0 44 3 162 1 0 217 5 0.23 0.5 0 0.81 0.38
"50" 66.75 62.25 "Control" 15 0 0 13 0 130 0 0 128 0 2.52 0 0 0.16 0
"51" 75.25 57.25 "Control" 27 11 0 57 2 168 15 0 299 5 0.87 7.8 0 0.06 0
"52" 75.25 61.75 "Control" 20 0 0 15 0 150 0 0 124 0 0.53 0.17 0 0.28 0.49
"53" 79.75 61.25 "Control" 32 0 0 33 1 119 0 0 144 1 0.16 1.65 0 0.22 0.32
"54" 97.75 56.75 "Control" 10 16 0 46 18 43 17 0 178 21 0 3.48 0 0.23 2.09
"55" 100.25 53.75 "Control" 48 8 0 40 8 290 10 0 218 16 3.65 0 0 0 0.23
"56" 138.25 47.75 "Control" 28 0 0 21 0 325 0 0 224 3 0.59 0 0 0.17 0.18
"57" -144.75 62.75 "Control" 77 0 0 30 9 524 0 0 221 27 6.6 0 0 0 1.04
"58" -119.25 62.75 "Control" 9 0 0 48 9 54 0 0 264 20 0.13 0 0 0.04 3.59
"59" -93.25 56.25 "Control" 31 0 0 32 1 181 0 0 246 1 2.07 0 0 0.18 0.11
"60" 16.75 62.75 "Control" 41 0 0 21 0 341 0 0 153 2 7.84 0 0 0 2.18
"61" 22.75 66.75 "Control" 30 0 0 17 0 375 0 0 204 2 0.26 0 0 0.33 0.14
"62" 26.25 64.75 "Control" 39 0 0 17 0 428 0 0 173 9 4.41 0 0 0 1.84
"63" 45.75 59.75 "Control" 14 1 0 23 0 143 11 0 232 3 0.11 0.11 0 0.63 0.18
"64" 50.75 60.25 "Control" 47 0 0 25 1 409 0 0 222 9 1.01 0.01 0 0.15 0.47
"65" 61.75 60.75 "Control" 15 0 0 22 0 115 1 0 192 2 0.13 2.29 0 0.66 0.36
"66" 68.75 60.75 "Control" 13 0 0 16 0 139 0 0 148 0 0.05 1.54 0 0.92 0.15
"67" 100.25 57.25 "Control" 17 3 0 34 9 102 3 0 210 17 0.06 1.39 0 0.15 5.29
"68" 111.25 52.75 "Control" 66 1 0 42 12 357 1 0 227 18 1.57 0.03 0 0 1
"69" 114.25 51.25 "Control" 37 0 0 32 1 148 0 0 119 1 3.49 0 0 0 2.69
"70" 140.25 50.75 "Control" 21 0 0 17 0 270 0 0 202 0 0.42 0 0 0.33 0.12
"71" -159.75 62.25 "Control" 33 0 0 23 0 263 0 0 214 4 0.09 0.01 0 0.3 0.05
"72" -130.75 59.25 "Control" 21 0 0 32 85 85 0 0 264 85 0.98 0 0 0.22 0.03
"73" -103.25 56.25 "Control" 50 0 0 23 1 466 0 0 213 16 3.39 0 0 0.17 0.23
"74" -91.25 50.25 "Control" 49 0 0 22 2 325 0 0 172 8 4.82 0 0 0 0
"75" -88.25 51.25 "Control" 30 0 0 20 0 270 0 0 207 1 0.01 0.02 0 0.45 0.03
"76" -87.25 50.25 "Control" 28 0 0 15 0 244 0 0 129 2 4.98 0.32 0 0.01 1.77
"77" 49.25 58.25 "Control" 30 3 0 24 0 221 11 0 165 2 5.12 0 0 0.01 0
"78" 52.75 63.75 "Control" 12 0 0 13 0 194 0 0 221 5 1.31 0.04 0 0.07 0.72
