"Lon" "Lat" "Scenario" "initial_recruitment_BNE" "initial_recruitment_IBS" "initial_recruitment_TeBS" "initial_recruitment_Tundra" "initial_recruitment_otherC" "recruitment_ten_years_BNE" "recruitment_ten_years_IBS" "recruitment_ten_years_TeBS" "recruitment_ten_years_Tundra" "recruitment_ten_years_otherC" "previous_state_BNE" "previous_state_IBS" "previous_state_TeBS" "previous_state_Tundra" "previous_state_otherC"
"57" 110.25 50.75 "Control" 71 1 0 31 8 409 1 0 221 17 1.64 0.07 0 0.06 1.03
"58" 153.75 59.25 "Control" 57 0 0 26 3 357 0 0 154 13 1.27 0 0 0.07 0.35
"59" -152.25 64.75 "Control" 39 0 0 18 0 378 0 0 185 7 3.8 0 0 0 3.11
"60" -130.25 58.25 "Control" 21 0 0 34 85 409 0 0 287 117 2.3 0 0 0 2.91
"61" -127.25 57.75 "Control" 0 120 0 58 0 0 120 0 415 0 0.81 0 0 0.2 0
"62" -126.25 58.25 "Control" 0 0 0 37 0 0 0 0 372 0 1.72 0 0 0.13 0.03
"63" -102.75 55.75 "Control" 35 0 0 24 0 299 0 0 202 4 0.18 0.04 0 0.43 0.15
"64" -98.75 56.75 "Control" 18 0 0 16 0 259 0 0 182 1 1.53 0.32 0 0.12 1.29
"65" 30.75 67.25 "Control" 11 0 0 13 0 197 0 0 227 2 1.71 0 0 0.03 0.15
"66" 42.75 60.75 "Control" 37 0 0 25 0 394 0 0 219 5 2.23 0.24 0 0.03 1.4
"67" 42.75 64.25 "Control" 32 0 0 21 0 315 0 0 299 5 3.38 0 0 0.05 0.07
"68" 50.75 59.25 "Control" 40 1 0 26 0 285 10 0 186 1 5.4 0 0 0.02 0
"69" 55.75 62.75 "Control" 12 0 0 12 0 211 0 0 211 3 2.72 0 0 0.13 0.19
"70" 60.75 61.25 "Control" 25 0 0 18 0 227 1 0 175 3 2.95 0 0 0.08 0
"71" 62.75 56.75 "Control" 38 2 0 26 0 211 8 0 131 0 0.09 4.11 0 0.51 0.23
"72" 66.25 60.25 "Control" 25 0 0 22 0 234 0 0 193 3 0.44 0.24 0 0.61 0.51
