"V1" "V2" "V3" "V4" "V5" "V6"
"-155.25/58.75/Control" -20.2726955666631 -0.927896283465476 -2.04365936868032 -0.078466534089652 0.270603468679298 0.188256685533378
"-146.75/66.75/Control" -70.3193622713233 2.82546972465922 -1.58761253046919 -0.675821695333085 0.320792483253899 0.0418322997782118
"-135.75/62.25/Control" -53.5452674661407 1.1450229922291 -0.919710660814211 -0.562032354749866 0.40371910894373 0.0219676948564621
"-125.25/64.75/Control" -75.8234927757442 2.70837656474189 -1.04003664404572 -0.62883256096465 0.248779059971439 -0.00691835870222221
"-124.25/58.25/Control" -43.1406796343687 0.0967036323249855 -1.3480367215028 -0.666246747219335 0.23917739672273 -0.22631251524053
"-120.25/58.75/Control" -21.6277742322076 -2.03072402263282 -1.88369269193421 -0.56325829717816 0.219041672215481 -0.112360269140235
"-119.25/62.75/Control" -67.9338329870831 1.72615024976562 -1.13622589880887 -0.770791274502731 0.328771248951672 -0.0172077113709611
"-105.75/55.25/Control" -20.2453134771016 -2.95201210070458 -1.9173973841635 -0.935423533626479 0.305841932000441 0.254602912249892
"-94.75/56.25/Control" -56.7751478219985 0.544769286671709 -1.72455915603188 -0.353896169096051 0.676402089142818 0.212538692912739
"-89.75/53.75/Control" -37.004410798187 -1.16306334663929 -1.82679335320294 -0.0945960441609234 0.550324279060386 0.387934571661371
"-79.75/48.25/Control" -2.00226511424918 -3.50740851046429 -3.11992514148772 0.000744323262127681 0.297872047523714 0.241748334150498
"-78.75/49.75/Control" -18.1232882940549 -2.70083317251501 -2.77756409165795 0.113096729558816 0.380168768805351 0.309108631531702
"28.75/68.25/Control" -28.1924089739633 -0.038574141702708 -3.73374940995765 0.0433755641526239 0.68975648607863 -1.11084030265325
"32.75/64.25/Control" -5.28991482776948 -1.8789307215057 -4.22761320987169 0.258101561509336 0.579806167844645 -0.859413531386368
"49.75/61.75/Control" -8.38706729976293 -3.68837280807903 -3.27221374948047 0.921406531362475 0.590484746887597 0.0157579891128943
"50.25/58.25/Control" 12.4738594009184 -5.50235483447957 -3.96369955457839 0.710223644466538 0.487397380320692 0.251520986656839
"50.75/62.25/Control" -9.31537912226656 -3.89099103559677 -3.16735971667108 1.09546802835568 0.593962274295932 0.0188295589366768
"92.25/56.75/Control" -14.1721012724227 -3.57857660085853 -1.76470396379108 0.801032799893321 -1.05546535211286 0.410109860474438
"113.25/53.25/Control" -57.5074671035251 0.893981664679613 -1.67307223239058 0.384793509070427 -0.813170879435851 0.237789096620075
"159.25/54.75/Control" -37.7686126223886 -3.06299200045908 -1.41765165851976 1.35907551736075 -0.576554478341214 0.0100754227599518
"-125.25/64.25/Control" -74.2549817861278 2.60793898991246 -1.22680675323598 -0.573487587980008 0.170402298411519 -0.0492438206841771
"-99.25/53.75/Control" -19.4622330980096 -2.47102906212606 -2.60776250071357 -0.422482241212255 0.457911018791208 0.339210315148296
"-97.75/57.25/Control" -65.5855613000973 1.27033686409391 -1.80866745466477 -0.340661900797618 0.685958446335639 0.151462858101814
"-86.25/51.25/Control" -22.5771908182092 -2.23727600204474 -2.68045699106669 0.0249931849466518 0.417315804093899 0.339279362703307
"-78.75/48.75/Control" -8.54256104931912 -2.83692428308087 -3.16815752688936 0.177988406728351 0.398240785907038 0.218188929955279
"-72.25/50.75/Control" -33.801680999535 -1.43872368218688 -1.82271273435245 0.474283482479102 0.320116029107809 0.169892284800717
"27.75/63.75/Control" 12.5748079158506 -3.21342075147562 -4.40981768282972 0.0733339902547071 0.224497202886695 -0.926946354053722
"29.25/65.75/Control" -17.4931554308464 -0.619034936863534 -4.11776656084376 0.120770516460824 0.440335869395602 -1.09367770684114
"31.25/68.25/Control" -25.3921050251838 -0.23956742970816 -3.93660810965286 0.179145422491727 0.665976993308319 -1.10928677803419
"40.75/62.25/Control" -0.0916005656426129 -2.96893236442384 -4.10470713375414 0.776241210712875 0.535205984460276 -0.500283226848647
