"V1" "V2" "V3"
"-149.75/65.75/Control" -4543.09440777105 10.6005202979506 42.5140496436464
"-90.75/52.25/Control" 883.648813422635 -253.387700671089 346.031811113491
"-87.75/49.25/Control" 441.353899104652 -111.675281128252 196.04704682951
"-78.75/54.25/Control" -75.6586422851979 -54.1634138727245 119.284193786495
"-76.75/48.25/Control" 3396.98468927615 87.5969611909195 81.6382801174814
"8.25/59.25/Control" 2918.07616796551 275.215489561388 61.6773098898756
"25.25/68.75/Control" -2176.47895329466 -119.34639654698 181.711775724583
"32.25/68.25/Control" -1689.31849261512 -11.5478867453792 130.614153397578
"34.25/60.75/Control" 541.933254096467 74.1422935849263 151.479277596236
"36.75/57.25/Control" -433.203733772559 200.21038929303 -20.0705021414775
"36.75/60.75/Control" 54.4503718646292 124.253914929572 80.2309531054582
"49.25/63.25/Control" -638.55094889011 258.874495011942 83.0647867260088
"50.75/58.75/Control" -443.303525612357 281.281368139965 39.4276614275928
"52.25/58.75/Control" -402.376799781565 295.535878616116 26.8300454707465
"53.75/65.25/Control" -477.962011247376 137.953145084465 83.6682918524965
"55.75/62.75/Control" -583.38921190022 196.842155542925 103.868263563116
"70.25/58.75/Control" -1788.54370026173 84.7608358378522 98.0669986132863
"88.25/59.75/Control" -1671.99516305422 105.732185872465 48.4909167500446
"98.25/57.75/Control" -3123.72962408331 -28.1185336428242 87.1068028395957
"-155.75/62.75/Control" -2488.55659672368 -34.5366041460956 84.1512783489433
"-116.25/60.75/Control" -3293.06727146663 -34.362941438237 65.7679555309763
"-111.75/57.25/Control" -3220.87996110826 -189.486253748709 100.450707494885
"-99.25/56.25/Control" -1556.62499976456 -109.118106083887 123.506742138278
"-95.25/55.75/Control" -2088.23081295228 -26.2855254697318 113.061534531194
"-90.75/51.25/Control" 279.843717176083 -283.698863252443 286.50054031231
"13.75/62.75/Control" -900.031307452439 94.8416901158787 34.5631501654118
"34.25/62.25/Control" -912.20671499754 33.6031844266399 156.761911372507
"41.75/60.25/Control" -558.208912986694 164.447080230459 24.0644170959605
"61.25/57.25/Control" -1492.68674172845 -50.4462720417649 77.8266016389425
"140.25/50.75/Control" 283.06550881255 -10.8245192469874 128.749285781767
"-127.75/57.75/Control" -2807.53751284681 1.11375427111594 172.501740471173
"-123.25/59.75/Control" -2608.60514205237 -67.7178615346231 96.223518950877
"-104.25/58.75/Control" -2007.63374710619 -293.181646190746 187.53326058059
"-90.25/52.75/Control" -832.913288457291 -321.750808584691 292.48589961754
"-80.25/49.75/Control" 1482.21968993862 -164.775208175836 182.395525466415
"-69.25/50.25/Control" 2111.41528082074 146.730622387703 99.1259827924948
"-59.75/51.25/Control" 6150.6519715099 501.320068747656 -37.5169617247603
"53.75/65.75/Control" -593.623652927486 109.17234497533 74.6669553633611
"71.75/59.75/Control" -1195.36300665241 51.6594247033231 111.908192797439
"80.25/62.25/Control" -1013.62671336004 253.51269347799 42.2973138519915
"83.25/63.25/Control" -926.548043724737 308.513426950847 54.631264286496
"87.25/60.75/Control" -1646.39151538057 105.300817770464 39.2058908873368
"101.25/54.25/Control" -3145.6313916247 25.8590005822515 53.0571978714503
