"V1" "V2" "V3" "V4" "V5" "V6"
"-155.75/58.25/Control" 532.730394118595 76.0169069298979 67.7518644598485 22.4166381022906 35.6777326518302 -46.6412347160198
"-142.75/67.25/Control" -5234.05284931679 9.64756360894315 82.9951624908067 2.52827455821582 -10.2254366236468 10.3124543960744
"-124.75/56.75/Control" -2356.45122263355 36.0202409109561 166.472578122532 -23.725888064984 25.2008920003812 5.67812889106103
"-119.75/58.25/Control" -2515.81071472126 156.703153542096 67.7319708563516 -21.0378103189368 13.2488871801441 1.22947247114174
"-106.25/57.25/Control" -1901.48946068114 418.896347244498 131.731155122623 -17.3756694601887 18.8883812955859 -26.6845734533634
"-90.25/53.25/Control" -1294.38819327693 151.995713665252 238.038665828182 -37.5234993805148 3.4088689043223 -40.8702622121771
"-72.25/49.25/Control" 3940.04442660514 -108.663342132401 115.025735901813 -1.17119389723378 -53.8686335965084 -16.6266197233823
"-56.25/50.75/Control" 4224.64125420054 0.372145168123617 227.859607229658 -78.4416612723783 83.2589454454116 -69.9007009617144
"29.25/66.25/Control" -1306.72043171418 -23.4711938891547 133.783298458576 -15.1200629196576 -4.66981488708061 -30.6452040813539
"30.25/62.75/Control" 304.30944151533 32.7298075934118 208.271907925637 -1.61580434856894 22.6493257385692 -34.2817005806305
"50.75/62.25/Control" -1418.37930384922 -262.147408525023 32.9060368818175 49.8060914076039 -16.016237730536 15.9867518031814
"60.25/63.75/Control" 1443.85415032236 -299.917428399582 27.8880071856161 67.0976199746832 -25.0013344918245 -0.823824675101413
"74.75/64.25/Control" -358.389441104162 -336.937249503013 24.1777491497255 77.9729769044053 -22.8626619697131 -18.3547836474169
"101.25/53.75/Control" -3056.61937473906 -86.0059860291294 51.7223031024823 -12.8146664592806 -4.27880010983536 1.12256159365475
"112.25/51.25/Control" -4109.87287065656 -80.7338183909222 -10.7351952035496 10.6104294198929 30.7299536713507 6.15915399144426
"-112.25/56.25/Control" -2577.71649966045 330.382070411051 129.699004758316 -19.9169107676306 21.6659569949745 -11.1884603311211
"-108.25/56.75/Control" -2454.32247518998 336.401682171145 127.977193842178 -12.0527866286876 20.1240925047145 -8.28608893920612
"-88.25/49.25/Control" 297.694562435587 148.889434504517 159.9836449741 26.4014588168951 -38.2145539196094 -7.08040121492874
"-59.75/53.25/Control" 3187.29172647512 -256.432219243927 3.60181156272322 57.0735848796941 -6.5236569121026 15.6605155562903
"12.75/63.75/Control" 4608.63091885807 -120.769944294649 130.871521226335 -6.93787873376796 79.3461641383776 -99.4523789670255
"32.75/68.25/Control" -1708.09437152352 -3.42207891957067 114.267896528663 0.0846661893838943 5.93135119454186 -23.8444334121928
"50.25/60.75/Control" -710.427671447635 -372.618521368371 -0.707303058684213 78.4852880302286 -28.2928682609311 24.124627430995
"54.25/64.75/Control" -617.323662839117 -200.335697406365 30.6730079030491 44.5860091910473 -42.0521652762447 -4.23188599909945
"57.75/58.25/Control" -98.4517025195851 -317.80089185365 51.3606758539268 86.514585895337 -39.1288913125542 -1.77263872708404
"66.75/63.75/Control" -1201.473641155 -260.583151342899 -79.163853746788 71.74396726537 -9.71135097035811 -13.4995420781449
"71.25/63.25/Control" 46.6522313168308 -295.764076124038 -74.7660897445336 90.8639982298611 -3.85045455978135 -7.42404757787568
"80.75/60.25/Control" -1337.14028757365 -196.454371873763 -8.79560477322475 38.6637960164185 -4.40858354589131 -37.6267308351214
"82.25/60.75/Control" -1012.37662060658 -239.515120094613 -15.8989802200272 49.9185328998598 -9.20246460064394 -37.0065565172845
"92.75/58.25/Control" -1953.8912605898 22.8003720356307 110.739805394438 -53.9337964936207 10.5921197568074 -29.8241271512285
"-156.75/60.75/Control" -539.016172769461 125.141990806047 80.6971274268288 3.7366601723711 29.838954374681 -40.576008996019
"-152.25/65.75/Control" -3302.70199621102 70.2042415880552 52.9517721634111 22.0998505171687 -2.7604080228598 -2.64461596269008
"-116.75/60.75/Control" -3388.19119591034 16.6310331513316 38.7686745953041 18.1136211726581 -23.5662151757304 -12.5731689253715
"-74.25/54.75/Control" 1340.18097838618 82.4236779130428 80.8784887910256 -4.61859306382561 20.6780695734076 -32.1272875783016
"-67.75/51.75/Control" 4773.34849550431 2.21395183907798 138.783323504297 -10.4766082506341 -16.2102700810326 -48.3849446008445
"35.25/62.25/Control" -691.305642235127 -3.70666745475196 152.279586076658 22.3261322437266 -14.507472186783 -33.4041652352565
"41.75/60.25/Control" -539.29663215313 -152.526244191808 29.2932807993262 57.1890879376116 0.101531777764083 -4.66115421586351
"50.75/59.75/Control" -572.452554254555 -389.589488272462 -23.896899190994 82.424510227273 -21.8793916228338 31.7984077809584
"51.75/57.75/Control" -193.269287467889 -258.028733358739 23.555830854836 71.3452699921082 -14.3971868956686 2.50755906091326
"58.75/57.75/Control" -373.956789053783 -125.151969220634 12.7621199301148 61.1514164792578 -25.5225317375438 -16.2440682912937
"62.25/61.25/Control" -2156.91822768116 -210.755358508128 -14.1404521787247 70.185784962714 -35.391119187762 -16.4413593744693
"63.25/65.75/Control" 519.787506164257 -307.525198322305 -1.3931810240598 43.9925550082094 -13.7444933693323 -23.1979197882217
"69.25/63.75/Control" -1361.61526159174 -265.702096409577 -87.1441685286776 63.5401257771315 -3.47050841582499 -4.49656897556749
"78.25/61.25/Control" -1482.07020628936 -138.889360744699 13.9473862361867 24.856871538893 -2.4145120488897 -20.0763186084147
"109.25/49.75/Control" -3460.04574450986 -187.602397023721 -1.07401743305772 46.8381812868448 24.7291818463928 -7.31408722945534
"142.75/52.25/Control" 1385.49077698772 -168.003764843744 138.005484402084 41.6613150028569 -83.7363732525177 -38.4846552774061
"-156.75/63.25/Control" -2402.4271378311 103.968307188803 30.5148619822238 -5.35120885431936 11.1274906038709 -6.52704939803904
"-151.75/66.75/Control" -3136.38228682517 77.2196703030666 88.4848113459671 -7.39528023600489 0.138428983637707 -8.85457737556202
"-131.75/60.25/Control" -2554.16989726488 -70.370688047327 84.5079101641657 0.0535827352728684 -4.83420448606967 -18.780984035482
"-113.25/55.25/Control" -2622.39483618714 156.960107034716 61.7273370981122 -16.865458316671 13.8810140073787 7.76454977251826
"-109.25/56.75/Control" -2881.36683468189 274.00413200322 83.7914006647027 6.41237031530447 6.04809045468872 -2.00118259044158
"-91.25/56.25/Control" -3634.23805910011 -15.1141774897364 54.3382634822531 7.26608164546139 -14.239454368728 -16.4737111225445
"-79.75/50.25/Control" 542.926367111312 77.0798215662788 131.657677459833 41.3638000607016 -4.05292538243961 -33.5385067835528
"29.25/62.75/Control" 153.746431462737 63.765872033075 158.879083076859 -26.1275169828942 -9.40412571705854 0.760195836461537
"48.25/58.75/Control" -280.618054737562 -275.643281031395 -15.0656155901606 74.4904556222755 -22.8852981308832 39.2576140379346
"48.75/58.25/Control" -269.824736474585 -211.53145585402 20.1761807605823 64.7822633284748 -20.7207068265271 33.9174597203025
"49.25/59.75/Control" -385.743297761766 -354.055682256941 -38.9519135585229 83.5812818766199 -21.8921338241565 43.3109253010911
"52.25/59.75/Control" -407.193952595712 -405.244070763293 -18.8799909791362 72.3878723349729 -16.2595044357923 44.3019957588254
"65.25/58.75/Control" -1112.11047458374 -45.3783216356578 68.7410686725134 23.6255570438992 -30.5035194823909 -41.5664189867618
"67.75/65.75/Control" -671.901410977748 -139.580963120773 14.5017216478711 30.9751008571662 8.20634149834884 -14.5318997442592
"69.75/64.75/Control" -713.01082056752 -328.226086548327 -104.045776777345 35.9697150463316 7.87569006830436 -10.4752994410654
"71.25/57.25/Control" -2445.21831270266 -83.1957857332507 13.495563765357 -4.52105766373633 -25.6728920762311 -22.1539933217692
"71.25/61.25/Control" -1317.99369652468 -139.083233340677 15.6042576914859 35.664945804404 3.03979238482128 -3.97479004077505
