"V1" "V2" "V3" "V4" "V5" "V6"
"-118.25/58.75/Control" -2724.80973074639 114.647451293273 36.7419410510704 -7.86051934046418 11.1156324883581 5.77146659425268
"-110.75/58.25/Control" -3410.90726649984 174.885672645343 110.89227980988 -16.0934257348917 -23.3688128561759 5.51736447844586
"-100.25/55.75/Control" -2157.8238535769 220.394243116366 121.479088614452 -17.4888744183635 3.76879982258712 5.99229613282211
"-91.25/49.25/Control" -11.5943870533901 59.4606290566076 182.339769004197 -42.2738034843459 34.46003801204 -20.9503974954448
"26.75/63.25/Control" -346.862493665207 64.6821688358577 211.592502836746 -23.7868294505015 55.8667567164442 35.8546391314393
"32.25/63.75/Control" -646.643401696552 -9.42950314423816 156.544608796437 -57.3140101660008 41.2775080605527 16.1420474299423
"38.75/60.25/Control" -492.697862191321 -168.831685755303 46.63175912077 -80.1728909964969 0.815520682316903 9.40099283027662
"39.25/61.75/Control" -225.699739931618 -104.239002701674 41.6647742831133 -55.9375151731261 30.2715748424389 15.8789761709473
"46.25/57.75/Control" -121.751658994739 -185.396292768907 36.8187433412967 -63.8087726683737 -20.0919594946883 -21.1620689121092
"62.25/61.75/Control" -2009.19023986263 -252.252894223719 -9.21059178087622 -71.9542146633621 -5.29825222385733 -21.8798483471438
"83.25/59.75/Control" -1250.20981016155 -101.691267723936 2.08685598946883 -39.3635191904751 23.9171669835099 11.2826421148095
"142.25/59.75/Control" -1285.86241871175 27.5503339854825 183.529632491861 -34.6642287510991 0.0558452572835622 -2.69365870102927
"156.75/56.75/Control" -569.074317552061 -193.999484303283 41.3666578698278 -11.0187271832515 -34.9710516984037 -56.3655647684501
"-157.75/65.75/Control" -2343.22301803906 99.3531227425672 112.767729375652 -22.3468368354367 18.5590344783128 4.33452186248607
"-155.75/63.75/Control" -2638.99358234401 68.3568714191802 56.6233707003352 -22.8220805935782 -1.74690829796426 5.11707064333582
"-148.25/66.25/Control" -4595.60344397946 -36.8902869181362 35.6317155429493 -19.2965023742664 -9.48603371309645 -10.7543995746309
"-120.25/61.75/Control" -3266.64243879215 -46.6078251962545 -8.13331640451798 -32.0777520812232 19.9321115994079 -9.64927309514076
"-115.25/59.75/Control" -2994.76892622442 120.664607667454 74.767556229211 -43.5840121743865 21.8407456032356 6.15106747491829
