"V1" "V2" "V3"
"-156.75/63.75/Control" -2885.09210133218 -102.368280732962 91.0729056714769
"-150.75/62.25/Control" 394.252452269912 70.971454939128 -17.6506910075365
"-105.25/56.25/Control" -2068.3672528859 -451.709711458743 147.354400257201
"-96.75/51.25/Control" -1756.08348692408 11.0763864909777 46.1554938583476
"-89.75/55.75/Control" -1997.04272489386 -33.8080681594161 131.042428193081
"-87.25/54.75/Control" -1039.22023013288 -74.2491204929178 225.254468773162
"-86.75/55.75/Control" -1347.50715439003 116.86432890549 132.957967083219
"-78.75/50.75/Control" 1062.64033829239 -170.662206774751 208.166585061584
"-76.25/54.25/Control" 760.460636832651 -58.6246365296132 157.699474347096
"-70.75/48.75/Control" 5486.2277863562 317.608282871656 88.9534295870031
"-64.75/54.25/Control" 2652.66882934778 -49.0537269824788 63.1183282398413
"-62.25/51.25/Control" 2910.29058743418 211.204141427226 -113.725388062298
"-58.25/54.25/Control" 1173.55320894196 26.1009818049055 88.4843835964955
"38.25/62.25/Control" -491.122292063623 26.656271021577 83.0405014173009
"40.25/65.25/Control" -1432.03490858455 29.0387929805436 61.9449488733689
"42.25/65.25/Control" -1706.34652803033 44.9935459921722 50.4524293594828
"49.25/57.25/Control" -1289.36497652915 123.503542829657 57.3903871029495
"50.25/63.25/Control" -742.281415345253 225.510548482249 81.8799090737166
"54.75/57.75/Control" -1326.14350086634 172.65626612133 32.1561165628923
"55.75/60.25/Control" 826.222450846858 435.580178805222 15.9048758581639
"58.75/54.75/Control" -731.63283992054 37.2345310568745 4.37087508280614
"65.75/64.25/Control" -1082.5105045401 346.508345300522 -75.1719912105334
"95.25/57.75/Control" -2732.303220398 -28.3707440712649 89.2673459576386
"104.75/54.25/Control" -4187.81512393816 29.2402740537881 86.6445491633261
"-160.75/62.75/Control" -2251.2838534957 -73.7022090712422 101.776184673873
"-123.75/62.75/Control" -3652.77131510843 -32.2897208234735 64.7399052818381
"-120.25/58.75/Control" -2607.18939259639 -131.425873597424 102.449547098741
"-102.75/58.25/Control" -1979.66144100747 -254.409589494414 178.333333453399
"-98.25/55.75/Control" -1727.26418277889 -134.546151151133 132.717121039153
"-87.75/55.25/Control" -1207.39915306938 -31.7671652669488 211.487965459487
"8.75/59.25/Control" 3308.35710962499 321.550923008213 14.5532764616452
"22.75/68.75/Control" -2055.7278813883 -118.970392638229 167.947676645105
"33.75/67.25/Control" -965.607952064721 -6.73436159107154 115.980050041198
"34.75/60.25/Control" 577.95884324752 117.257761866319 108.822106876143
"43.75/62.75/Control" -782.706203467885 113.237273360503 25.0731740372918
"64.25/62.25/Control" -1061.89089482384 337.7072471524 -64.8155985040367
"70.75/57.75/Control" -2310.80848783421 124.947286735741 61.0184947540777
"85.25/58.75/Control" -1913.59143660171 54.8894802986978 28.9225091062294
"98.75/54.75/Control" -2699.99205608163 157.671500746179 18.388734902116
"101.25/54.75/Control" -3287.57540825648 1.97134862100735 68.4815619453596
"103.25/52.25/Control" -1863.97104315166 131.816429905433 98.9219210572039
"137.75/56.25/Control" 3134.02727105468 298.118099451227 306.282229075006
"156.75/51.75/Control" 2793.24251101825 158.968823975989 18.802731287294
"159.75/53.75/Control" 9606.53194371884 436.741554952951 66.5550958705746
"-121.25/58.25/Control" -2482.68497695287 -202.552032472313 141.861309707698
"-97.75/56.25/Control" -1775.87977069478 -67.9222810980787 131.306067464137
"-59.75/54.75/Control" 1215.73230747449 6.43067958181578 62.7398036263421
"26.25/62.75/Control" -719.644832829131 2.57551297885309 149.437961997206
"37.25/66.25/Control" -1375.39119809997 -27.0565470921384 112.177701793356
"38.25/59.25/Control" -255.218455695642 147.364498266913 63.9419736514382
"62.25/60.75/Control" -2255.01191971386 235.331758533685 -25.4682391353095
"66.75/66.25/Control" -683.911925582446 160.165271154495 68.3100689129753
"70.25/59.25/Control" -1408.56898865793 65.32606499638 104.348284712029
"83.75/58.75/Control" -1952.8174558629 27.367689584678 30.4139601868501
"83.75/61.75/Control" -704.553995019379 185.691367835349 39.4569633258042
