"V1" "V2" "V3"
"-149.75/61.25/Control" -1879.80575609904 -20.3931105949203 0.82143947689271
"-125.25/63.25/Control" -3724.3017528055 19.5585564982789 82.3291879611493
"-119.75/58.25/Control" -2499.29276891366 -155.638812151547 79.4706949065768
"-109.75/59.75/Control" -3268.78625532736 -39.7627392004571 110.742706599628
"-101.75/51.75/Control" -1747.86056407986 -245.340226661121 131.601800595482
"-89.75/50.75/Control" 172.505874478018 -361.469848000554 283.631363450763
"-89.75/54.75/Control" -951.057601444898 -174.324812815882 255.785207948843
"-87.75/55.75/Control" -1407.9073277087 115.920983793027 143.700940752271
"-85.25/55.25/Control" -769.662372062633 12.9459405285345 211.958621878539
"24.25/67.25/Control" -106.212625277816 -97.4980406652712 187.61915323325
"42.75/62.75/Control" -876.243893178557 146.535336943644 19.3157052598014
"43.75/59.75/Control" -798.43798905191 164.776629925409 20.6913540115549
"48.25/58.75/Control" -201.243227974422 246.92113822022 31.1199345881683
"48.25/61.25/Control" -1127.78069402536 211.709946294699 18.9168432522456
"59.25/61.25/Control" -815.677275089602 230.988439911641 89.7574563688263
"66.25/58.75/Control" -635.861363673032 11.7850352730247 166.269412413768
"68.25/59.75/Control" -1471.24499886704 85.7197156124796 110.830152714969
"69.25/57.25/Control" -2443.68877634114 113.007151667547 40.3105117163511
"71.75/65.75/Control" -352.6960853897 145.681104995281 67.7318870950726
"84.25/61.75/Control" -703.444273300511 186.19095644804 63.2065708324249
"86.75/59.75/Control" -1542.90816617346 46.0580644134863 52.4484250752401
"-151.75/61.25/Control" 4388.76118453724 97.7717586226945 30.2008750166411
"-149.75/65.75/Control" -4494.75019753441 -10.4946961440255 35.2927526410138
"-103.75/54.75/Control" -2422.46458572061 -328.089757668963 75.0812407544965
"-100.75/57.75/Control" -2435.17061548523 -153.865951901013 83.0368259113122
"-96.75/56.75/Control" -2420.3094984576 16.999953944299 91.170968190728
"17.25/63.25/Control" -950.733543174669 9.96736822277768 97.899924865713
"45.75/66.25/Control" -1097.3228429306 38.9548020421015 136.823138871248
"47.75/65.25/Control" -1779.71223393193 58.4765022436133 114.722633586537
"51.75/64.75/Control" -1130.05570501243 118.615042537163 114.859439475741
"57.75/52.75/Control" -1135.90039082823 50.6497784333056 -15.1623434100839
"83.25/57.75/Control" -2074.9640935972 82.1491285273874 7.15922939955359
"88.25/59.75/Control" -1634.83271222603 122.942771925236 56.4199968472547
"95.75/55.25/Control" -2338.2861179087 177.046092335236 78.045189859051
"109.25/52.75/Control" -3235.97663675918 70.5817016467256 89.5768444029461
"137.25/47.25/Control" 821.378003084221 456.875325918684 -58.908074494833
"139.75/53.25/Control" 82.4774354193773 354.58186755869 1.15357702075869
