"V1" "V2" "V3" "V4" "V5" "V6"
"-157.75/61.75/Control" -2567.20575269643 -27.4247520236113 24.8916490557516 -24.8324099851597 7.82237361353185 4.78066865096316
"-90.75/52.25/Control" 890.756524522151 246.704915712762 317.57173905011 3.51394022221108 73.4106363361212 -22.4172624094521
"-86.75/49.25/Control" 711.974930389987 157.379923070419 184.808831508156 -52.05602685835 22.3374276582596 -28.2413235946175
"-86.75/49.75/Control" 1215.43976292975 133.241518454909 185.253753015805 -42.4315497657606 41.3013986170675 -26.5621324336463
"-83.25/51.25/Control" 1527.00213387846 108.104920132453 139.80427853411 -15.1066978324455 22.9044809287573 -26.3664410567673
"-80.75/48.75/Control" 1349.70241151579 129.404206425076 171.20101914745 -14.0327426672347 -19.2400339871345 7.94581294995401
"-57.75/48.75/Control" 6695.48672247982 -362.738500318564 205.850943939341 31.5413849849615 37.0966032214621 -63.9141229385183
"14.25/60.25/Control" 801.905673505496 -177.320781780273 35.5961997395636 -47.6795852365108 -13.0524684174494 -1.13572150458256
"25.75/64.75/Control" -1164.93089675186 70.6278891988981 190.569017107168 7.73563036959504 20.8102034755421 0.491490683131105
"26.75/63.25/Control" -420.543738999047 70.1191304799162 206.247642252245 25.3357178621531 16.7163254526739 0.194936795981868
"35.75/59.75/Control" -282.387269298415 -101.142833596331 83.6759134078601 -48.580750137669 -36.8045249185541 -5.46406748217924
"39.25/57.75/Control" -544.17928088542 -164.533317264503 20.9870949873054 -69.7579012427769 -29.0754322742082 1.38613548056371
"48.25/65.25/Control" -1559.17170592502 -55.2772407229621 98.9566511854588 -31.5230482291646 8.29662578290898 -21.3155875871603
"52.75/61.25/Control" -755.339552705036 -319.429433447408 11.4191033335356 -88.7486384077651 -21.4427420590169 -29.7103251475046
"61.75/59.25/Control" -2109.63404501816 -166.357327243249 56.2862687694795 -75.1494128403534 20.474200561247 -7.0517583806364
"65.75/59.75/Control" -2246.96916043247 -109.368169395357 80.5190719401271 -74.9307454246226 36.2178691426396 -26.7611333355656
"66.25/62.25/Control" -602.908858830481 -357.584621565413 -61.862476664696 -130.377800002211 -2.41020047207972 -28.5728855152821
"67.25/62.25/Control" -638.900430791418 -338.808086774096 -70.1660166703337 -120.669218638341 -10.0000082442099 -27.2219071522665
"68.25/58.25/Control" -2063.92637958149 -52.6299870321287 85.8787907659039 -27.467490273742 41.4062560355073 -12.4857442007987
"72.25/66.25/Control" -1254.13250066592 -171.463225744475 24.5201132026475 -50.7970502343371 -41.10711760372 -10.189867544955
