"V1" "V2" "V3"
"-152.25/60.75/Control" 9470.05933639317 28.4970336999245 -64.4737598394796
"-149.75/65.75/Control" -4473.59134806581 -5.38032594627637 -42.6125846772182
"-131.75/61.25/Control" -4340.74014571705 21.9936180170886 -76.6674868858774
"-106.25/59.75/Control" -2841.02678062378 -122.038954940996 -154.954514009432
"-90.75/49.75/Control" 437.67610090371 -196.495691293569 -256.691707446026
"-84.25/49.75/Control" 638.984466323954 -168.637906166422 -201.841417622259
"-84.25/53.75/Control" -382.03299937526 -99.3079719452733 -193.856309730313
"-82.25/50.75/Control" 1770.90625169159 -126.827636922227 -212.711697793074
"34.25/64.75/Control" -1195.40178842572 -26.6165306260634 -130.432116654152
"36.75/66.25/Control" -2930.52664509097 -41.9994808353413 -67.3207030402007
"36.75/67.25/Control" -1458.18224941738 2.21120958995382 -111.281413004854
"38.25/57.75/Control" -112.399879587064 191.005968482465 2.2074388044936
"46.25/57.75/Control" -135.358993411664 180.646380478821 -41.2580366441137
"47.75/61.75/Control" -891.914054110944 203.814170876489 -20.6805754557961
"52.25/65.75/Control" -688.839987950067 85.6847072701719 -91.7399683093706
"65.75/58.75/Control" -711.996654087976 72.1554465073729 -152.057859445187
"72.75/58.75/Control" -1386.93200253196 42.5030327019594 -96.6045090358178
"111.25/50.25/Control" -3173.78236668916 172.064055701644 36.1541695724301
"138.75/51.75/Control" -1230.36056040747 47.5259477949701 -23.3819117027268
"140.25/49.75/Control" -758.370400837715 -54.5418884727824 -103.801496408985
"142.75/49.25/Control" 1694.28614065321 132.780642595583 -106.202659638841
"-142.75/63.25/Control" -4636.24354632164 29.7767985350036 -51.8416062918511
"-102.75/56.25/Control" -1985.86988496455 -340.180045330036 -132.003979871957
"-85.25/51.25/Control" 970.164584014775 -136.009014010762 -204.47496962841
"-82.25/54.75/Control" -297.03649779945 -21.7527898375248 -210.68113141842
"12.25/63.25/Control" 3846.35063975643 156.243028755769 -128.220586996184
"33.25/63.25/Control" -1078.94218194106 -11.7216955213115 -163.720363079678
"60.25/55.75/Control" -1170.4608494441 4.08585083154591 -43.5606163536299
"82.75/58.75/Control" -1918.33271437313 84.1997289020404 6.30772682403054
"87.25/60.25/Control" -1631.73131078876 116.170312131953 -49.5020984240676
"108.75/51.25/Control" -3937.45592144051 87.8157130499136 -18.0352069872967
"-158.25/60.75/Control" -1499.01735935829 -40.9400539710616 -47.6757572937546
"-155.25/60.25/Control" 523.79374666359 -143.403633409733 -98.9808271471325
"-154.25/63.25/Control" -2603.8252371658 13.2943084009791 -45.1487799984325
"-133.75/61.25/Control" -4012.31218911458 35.6784544953407 -91.7899748388032
"-96.75/54.25/Control" -2392.7558234914 -80.5202905003988 -124.645460507793
"-92.75/52.25/Control" 140.010627612052 -362.778001084866 -298.782552956006
"-76.75/54.75/Control" 632.456138622927 -102.371875619173 -167.469786654429
"-74.25/52.25/Control" 2019.56698127722 -157.194502756945 -152.195092406111
"-70.75/49.25/Control" 5654.26693723801 280.379084956286 -100.50541615529
"24.25/68.75/Control" -1781.00189544731 -161.259487244112 -192.118260553684
"30.75/65.25/Control" -1419.72240235141 66.0280885012878 -126.73712966313
"35.25/67.25/Control" -1516.28293949878 -9.44884425641425 -112.978979772223
"37.25/66.25/Control" -1313.41690115498 -23.6145722081582 -119.220143400389
"53.25/63.75/Control" -797.88212001176 176.612533148588 -84.3229224490212
"56.75/62.25/Control" -120.336146800061 165.645553842533 -90.293456383367
"83.75/63.75/Control" -756.756656183071 337.160306581991 -50.4672560736482
"88.25/57.25/Control" -2029.38289086135 -28.2328955660709 -86.1015174368319
"98.25/57.25/Control" -2867.82807346816 -15.8071731988365 -103.260297376128
"146.75/60.25/Control" 1274.26982368733 183.555545281817 -172.840849070776
"156.75/55.25/Control" 960.426302469277 222.786590787264 -113.853818940485
"-160.25/55.75/Control" 5128.00450977976 -51.5167396950671 -193.116158549626
"-146.25/67.25/Control" -5339.18436850868 -111.086754760323 -127.661651515607
"-127.25/57.75/Control" -2380.15027075773 -61.0163703556619 -209.740788697461
"-115.75/59.25/Control" -2999.13834679664 -125.766373293121 -108.940372045403
"-95.75/52.25/Control" -2434.6663622228 -170.994165004849 -130.067455340491
"-70.25/50.75/Control" 2176.19226094277 100.314423923357 -138.073196980478
"-60.75/50.25/Control" 5917.52555784512 439.286615246541 136.125607172346
"26.25/64.25/Control" -760.212891402084 -55.8496502612709 -174.924041815517
"32.75/65.75/Control" -1213.25802087021 19.2477634260457 -120.713996242129
"38.75/63.75/Control" -630.969905107311 77.7605316845247 -34.1315582186475
"39.25/58.25/Control" -10.9684035047671 201.937772023122 -38.4822641945752
"39.75/63.25/Control" -1071.47369529715 122.961408950131 -5.11492551254954
"45.75/60.25/Control" -655.529265102886 158.384054830555 54.1413315033654
"51.25/62.25/Control" -1311.30682093878 230.664682673357 -32.1695100461362
"55.25/59.25/Control" -951.584466940898 346.07170692691 26.751504366161
"60.25/61.75/Control" -1538.26969497031 178.072243636849 -13.580344276798
"60.75/58.25/Control" -1566.17723508337 68.7764776104499 -56.2661357391786
"69.75/64.25/Control" -977.563650567178 374.710981356844 103.721055274978
"142.75/54.25/Control" -228.890221179014 -25.9397813506449 -191.401572013471
"156.25/54.75/Control" 2412.43960784271 289.655193632565 -112.30513989994
"156.75/52.25/Control" 2226.43405682323 158.854326881682 -24.5751820134653
"-142.25/66.75/Control" -4758.68818148137 -38.606334624952 -128.471850299741
"-126.75/58.75/Control" -2186.26616983828 -100.397129960786 -203.223827400495
"-104.75/53.75/Control" -2668.38851684341 -89.6711650612375 48.1858911667206
"-55.25/48.25/Control" 7682.56718453722 318.717847624035 -183.086481964295
"58.75/56.75/Control" -508.440363601485 49.61573929819 1.38472701985954
"65.75/63.75/Control" -1085.16578098711 322.222321529339 79.5538217004072
"66.75/59.75/Control" -2124.14243895803 17.0479891086808 -65.5465258207535
"101.25/55.25/Control" -3206.74261680411 -51.4569502325342 -78.040498384213
"149.75/59.75/Control" 1046.05588641316 241.788666898483 -165.110764288622
"-121.25/61.25/Control" -3047.3700795019 -59.3303688968748 -57.4404793451567
"-101.75/56.75/Control" -1409.54605468058 -304.719406963636 -141.880133189253
"-82.75/52.75/Control" 455.136820150859 -111.274887863471 -102.272210729609
"-82.25/50.25/Control" 1905.97618901605 -215.874093115004 -174.937948843751
"-79.25/54.25/Control" -121.716852121328 -113.367737592332 -96.3083938825995
"-75.75/51.75/Control" 2151.77231308211 -155.898389279735 -138.637592618076
"24.75/68.25/Control" -905.975152057492 -208.807202046777 -237.77087483189
"26.25/65.25/Control" -1016.74202465885 -50.7398509031318 -142.902229832485
"38.75/64.25/Control" -583.552807387695 -4.89870656618125 -46.366598996915
"40.25/57.25/Control" -889.503347988255 265.667839973821 29.4278612533556
"50.75/61.75/Control" -1068.18176731539 271.98462520638 -6.2064460789759
"51.25/61.75/Control" -1000.67465487257 305.422652079523 -13.144959219256
"56.25/60.25/Control" 1068.45705855037 498.114617221738 34.49392369654
"60.75/64.75/Control" -213.637688673927 282.110268943598 -46.3912305360951
"66.75/65.75/Control" -508.592395258377 143.874373114545 -45.179665527752
"68.75/64.25/Control" -1336.4376504027 364.973970237128 110.386917892628
"71.75/64.25/Control" -446.26128753614 383.018935455291 101.437972402898
"76.75/57.25/Control" -2471.95314427842 31.290574448781 74.4128982199363
"79.75/59.25/Control" -2307.78693340031 61.9344459666175 12.9385918191413
"98.75/54.75/Control" -2648.57775619029 166.788737443958 -26.7539643631996
"140.25/50.25/Control" -445.423856631911 -164.906421967164 -150.003131377702
"147.25/60.25/Control" 1390.47745289679 270.645611508367 -166.20766054803
"156.25/55.25/Control" 1311.98819762077 329.078511956906 -111.230520664211
"-151.75/61.25/Control" 4418.86683351621 72.0426419280417 20.7741865119617
"-151.75/63.75/Control" -3643.30288476141 -33.0875264315902 -85.3070104367736
"-149.25/65.75/Control" -4398.173496697 -7.46400685551288 -56.6283496895459
"-146.25/62.25/Control" -3707.67369064077 -50.7911817361952 -84.957405067921
"-127.25/58.75/Control" -2183.51265162762 -107.690858254017 -202.587878449778
"-97.25/54.75/Control" -3160.75084192693 -203.791412541356 -85.6820362002278
"-94.75/51.25/Control" -783.596198387785 -128.434277341906 -132.018342252598
"-74.75/53.75/Control" 1578.82792314294 -187.175904676542 -109.936497921165
"-69.25/50.25/Control" 2143.70645402866 88.5480645542925 -41.8671695635275
"-66.75/50.25/Control" 5576.29426552425 246.874289478566 57.9171077084389
"51.75/62.75/Control" -952.473324387716 214.879329765842 -61.1035211778572
"64.25/64.25/Control" -791.839234320541 416.129789988821 101.341547731684
"72.25/57.75/Control" -2115.94638225764 10.4700131389097 -15.258730303551
"73.75/57.75/Control" -1920.82487660166 -63.8923973043956 -34.4196329342224
"74.75/59.25/Control" -1226.24466720109 8.99432231002486 -51.4838374254684
"-155.75/60.75/Control" -399.015236304255 -188.008716973896 -87.5634325751213
"-120.25/60.75/Control" -3317.40290562031 29.5847659586461 -38.554180606094
"-101.75/57.25/Control" -2006.1787888992 -204.480933998951 -83.5445274113482
"-100.25/50.75/Control" -1531.06884228168 -100.551194922097 -57.8045173131218
"-94.25/52.75/Control" -1296.96744529611 -390.692455123243 -166.767307872943
"-93.25/57.75/Control" -2672.77108778086 76.4338792412324 -53.1085205356013
"-88.75/50.75/Control" 556.092890295587 -456.081973458775 -199.169529217347
"-78.75/49.75/Control" 2563.57708542551 -151.064997310624 -147.621343572939
"46.75/64.75/Control" -2030.81184680914 -28.5256367154009 -96.6117036415963
"51.75/58.75/Control" -435.193826852745 338.240973707725 14.0018558011395
"51.75/65.75/Control" -727.449602207861 68.7092818776236 -64.9741314725479
"52.25/57.75/Control" -127.527257695868 268.339882396776 31.8163728025964
"53.75/66.25/Control" -1049.32902950305 24.6528560343038 -86.1525803131815
"62.25/60.75/Control" -2276.83741666388 230.021214474583 81.6388618050595
"63.25/58.75/Control" -1805.03840996648 24.7207790906524 -34.1296314339762
"82.25/64.75/Control" -1282.77079823417 311.641516532235 -25.9094992405663
"110.25/50.25/Control" -2737.19999793951 201.271074708778 -33.2931293297059
"110.25/50.75/Control" -2944.74083156527 120.132327238811 -77.1129937569227
"-117.25/61.25/Control" -4225.91391941155 -8.92875501869618 -13.6502584556126
"-100.25/57.25/Control" -1647.09195008943 -110.174189956333 -81.0644312282704
"-96.25/52.25/Control" -2548.09977042387 -164.973367112396 -96.7401045614521
"-85.75/51.25/Control" 1043.88582188023 -263.572877147788 -142.539031810591
"-74.75/54.75/Control" 1341.75559506983 -153.881709913453 -100.364736591484
"31.75/66.25/Control" -1458.90295734191 -68.3405728217778 -99.7586443943035
"43.75/60.25/Control" -599.286933485652 126.098242078595 2.73728014440167
"50.25/61.25/Control" -823.063531704988 377.121219563796 46.6831304666237
"69.25/65.25/Control" -728.298538504059 205.762086772114 -15.0307713062988
"77.25/65.25/Control" 32.7405919893198 425.157732809393 21.5371270829289
"99.25/54.75/Control" -2965.27250911389 68.1320171692321 -36.1214930767504
"143.25/51.75/Control" 2448.89294892721 -7.84567836841145 -77.8526908092594
"-163.75/54.75/Control" 11133.856965841 -371.551757949459 -500.236701001653
"-155.25/65.75/Control" -3219.41197609654 -172.317335950457 -113.565558736511
"-151.25/64.25/Control" -3642.23025944169 -16.7774936887821 -11.8322879521737
"-121.75/59.75/Control" -2487.14183677223 -98.396469605021 -129.963150589533
"-97.75/57.25/Control" -1208.70154680132 -85.4824391311887 -101.94463322513
"-96.75/53.75/Control" -1891.17782278791 -221.648285371976 -82.3763055506543
"-88.25/55.25/Control" -1078.16644590344 -227.502252170164 -164.272383589431
"18.25/65.75/Control" -654.2474898159 -134.893502929224 -112.455518961248
"25.75/68.75/Control" -2234.41710196676 -232.918843268452 -228.360060301773
"55.75/59.25/Control" -527.901488770993 479.965527588999 52.608186571703
"72.75/63.75/Control" -696.208391355765 359.841577747748 65.5248058549256
"94.75/57.75/Control" -2711.04318399164 -85.0727848138032 -101.355376383595
"98.25/55.25/Control" -2644.11028560517 114.560879254579 -79.0417833161356
"139.25/50.25/Control" -866.236402792831 -50.8628899910933 -75.8097073916824
"-157.25/65.75/Control" -2989.59416347606 -140.103317480951 -105.817218721034
"-129.75/57.75/Control" -2499.22274833608 -70.2497560485467 -162.264583611765
"-125.25/59.75/Control" -2430.13243071295 -40.1399664365267 -105.889511460617
"-92.25/50.25/Control" -772.666887469162 -336.989365553662 -143.428702305355
"-82.75/51.75/Control" 606.636482582869 -183.818445681641 -113.293826958937
"-79.25/50.25/Control" 1741.04108311924 -172.929735722571 -123.001825966476
"-77.25/53.25/Control" 664.771642781308 -175.694439724879 -164.931287317139
"-64.25/50.75/Control" 5534.11040662219 278.575060491726 56.2108977827906
"16.25/64.25/Control" -52.1588233337631 -100.83971830975 -130.734284692122
"31.75/66.75/Control" -1189.36947939821 -149.321033567176 -120.573418764908
"55.25/59.75/Control" -206.577426329577 436.362520969285 7.62399934907199
"59.25/65.75/Control" 859.326411437863 328.718286218805 64.3336614119701
"59.75/54.75/Control" -1407.16193031431 69.0264058025813 41.260131825508
"75.25/62.75/Control" -1044.74590836257 299.881780164784 6.38173795666285
"83.25/63.75/Control" -958.975786001876 347.920334443742 -8.67552964818075
"87.75/57.25/Control" -2390.0052426163 -61.9320119585581 -79.7534965055184
"138.25/52.75/Control" -2402.04081825684 133.095770796711 -12.8822101072493
"-161.25/62.25/Control" -1069.92701627337 -200.083841480469 -135.060565095276
"-115.75/59.75/Control" -3044.85108193812 -170.798747440069 -64.6831207969447
"-112.25/56.75/Control" -2726.79040540827 -409.131911009723 -112.565515387325
"33.75/61.25/Control" 200.983444640585 -100.909070867404 -136.233078996467
"44.25/62.75/Control" -742.161725093895 99.6536214783102 -18.9862713683335
"50.75/61.25/Control" -928.856084169757 370.495126493247 20.8655219167783
"60.75/55.25/Control" -1984.90509928499 67.2042468776964 60.1155837435293
"66.75/61.25/Control" -1459.48409385374 237.011362345124 12.4995909039025
"71.75/65.25/Control" 6.44042238383193 168.513998241548 -56.536910236888
"98.75/55.75/Control" -2526.4650348579 -14.7600810409604 -130.816479531539
"141.75/58.75/Control" -1170.41222652853 8.17110739931025 -162.039365359724
"-148.75/66.75/Control" -4119.02683404566 -85.4629941916295 -73.3017819642223
"-72.75/52.25/Control" 2392.72938387973 -240.984735209313 -149.624489768808
"-66.25/50.75/Control" 5532.38054445038 182.874718947056 -17.3261492950048
"-60.25/51.75/Control" 5489.03538460544 423.136704775917 -19.5657687899021
"17.25/66.25/Control" 624.993511940927 -225.162138583818 -154.710064250795
"46.75/65.25/Control" -1865.045146867 -32.9171854480038 -101.445904915015
"52.75/62.25/Control" -1071.89454105944 296.885908335261 -30.7470831399295
"68.25/60.25/Control" -1481.56525967378 98.2558597715012 -63.1539676055767
"70.25/57.75/Control" -2306.75913433857 80.1514240896782 -40.0697573413476
"111.75/52.25/Control" -4214.76693079228 70.4618941844451 -66.2219865653167
"-136.75/60.75/Control" -3973.81944321218 -9.68637649476474 -103.891047851014
"-126.75/61.25/Control" -1005.73186884332 -116.021862405176 -124.700099282413
"-113.75/60.75/Control" -4211.34150634947 -200.258233161544 -72.2757646092655
"-109.25/53.75/Control" -3306.7634461173 -74.6875328041295 11.2741498341929
"-75.25/50.25/Control" 3908.84515666613 35.848301544118 -37.132578418837
"13.75/62.75/Control" -793.609040833349 56.4118706614156 -82.2325712440716
"31.25/64.25/Control" -482.530816604847 -120.031350991982 -90.3418361363089
"44.75/62.25/Control" -652.700286160645 60.4158591221821 -52.6968010170961
"57.75/65.25/Control" -171.235615368281 309.436499949207 -3.1272154420509
"60.75/57.75/Control" -1469.83729617512 1.25108483337672 -27.8813692082893
"65.25/61.25/Control" -1889.1660257968 286.042564123259 22.5449452547867
"68.75/57.75/Control" -2189.12934980136 68.6477579775457 -34.1004978058923
"72.75/61.25/Control" -821.889629812999 129.686916956718 -82.3122447532756
"80.75/61.25/Control" -1208.39062880491 251.399329079918 -10.3263581536815
"89.25/58.75/Control" -1650.29112561843 6.98891507233169 -104.732115910448
