"V1" "V2" "V3" "V4" "V5" "V6"
"-155.25/65.75/Control" -3345.40764119237 -111.585120120431 -94.3854077887594 13.893078534785 -10.4701575826059 -4.80484348714824
"-154.25/63.25/Control" -2677.18192714783 23.8565748141168 -28.5577273485021 44.2739850421293 2.88599612348156 5.8310410160754
"-142.75/61.25/Control" -1501.7837233262 13.9573795656091 -105.502384901481 5.12581441617924 -20.6324336450497 -51.1795254608362
"-120.75/59.25/Control" -2793.00396667157 -81.3109152267438 -69.2129299887286 4.2493507230738 1.61397399208655 -31.1541207853766
"-111.75/55.25/Control" -2928.35106894399 -150.368558707106 -35.6731672974942 28.1487755432473 -5.00175108607941 -14.2763330692955
"-106.75/57.75/Control" -1961.15228130867 -404.262877315013 -153.811146178136 22.1796336733732 3.99432853163054 -40.6615798004795
"-96.25/53.25/Control" -2165.479319371 -215.745118982459 -148.96260980125 -12.3906139765808 -9.96577008672363 -14.9701019822566
"-95.75/55.25/Control" -2235.37910911349 -52.6532781614239 -139.687153765847 17.7343916163483 -3.11833723802867 -15.1123463149025
"-94.75/50.75/Control" -966.087012036178 -97.6007712756658 -188.029750262504 -4.14384410610236 -45.2134691435791 3.89580667567995
"-88.75/55.75/Control" -1561.52491762169 46.8362062732584 -119.288738295561 39.8573359527921 15.1869930925479 0.73165829623483
"-86.75/55.25/Control" -1199.58492155708 3.79670240632618 -169.468213485571 53.5227734462762 16.1083422520156 -35.910289958455
"-80.25/50.75/Control" 275.022086629082 -157.737848617837 -161.792909001988 37.3911849425276 -3.68579003762391 -16.3320752314304
"-65.25/53.75/Control" 2860.12056960643 -16.5779050555384 -9.39890438092173 4.03080430325985 2.84198840772283 8.10735715012238
"-61.25/52.25/Control" 3090.91959101594 303.204011105716 95.3308831859244 28.4447639048651 -3.1525849301318 34.0328200448012
"21.25/67.25/Control" -1211.83377664907 -156.11357467384 -186.501632577456 -4.59183134360167 -3.9262547475808 -71.3974704797053
"23.75/62.75/Control" -1363.71889526375 -17.4907197708815 -129.816699053375 18.5409447727966 5.13690632515462 -40.3141758769383
