"V1" "V2" "V3" "V4" "V5" "V6"
"-149.75/61.25/Control" -1880.30981490413 18.5509858033702 7.88080976886708 -5.59642406538644 -17.2561642033037 0.666042354456063
"-125.25/63.25/Control" -3721.3760649926 -13.3923474865752 53.5099419539511 15.9962526345263 -11.812700486634 -16.9438860169781
"-119.75/58.25/Control" -2497.79964465544 158.981085182684 64.6294870765734 -17.5796162840518 -2.97288413102497 -7.59352624787088
"-109.75/59.75/Control" -3266.69611675088 44.2101664693614 93.1183946053584 15.1372556414175 25.1079376136791 -13.0535170343238
"-101.75/51.75/Control" -1746.01267886645 249.345224069862 116.219311124292 -25.9025890092277 -22.9696244914819 -21.974876188767
"-89.75/50.75/Control" 173.417489087754 367.189176861882 267.382705984874 -3.15030952421032 -77.8064558666532 12.6565438793246
"-89.75/54.75/Control" -949.857682651523 179.921846317828 240.777122968618 -8.39176770849829 -29.2677260762266 15.1758486994171
"-87.75/55.75/Control" -1406.67584467243 -111.482935916736 130.454197318606 39.4529937552568 -5.57617091330151 12.7915619858766
"-85.25/55.25/Control" -768.660604602942 -7.92147503376474 199.492915082462 8.90505357972621 -21.9755530862126 21.0323441247113
"24.25/67.25/Control" -105.29192814863 100.400263426891 182.525177162019 -67.8081762957643 -34.1468708832199 -10.800976344674
"42.75/62.75/Control" -875.197334955259 -144.674911896199 12.4213714502262 54.8865048729951 -6.9316276770618 -11.7403011560007
"43.75/59.75/Control" -798.076383524069 -165.032248748796 24.9020609538573 50.0906453421033 14.3580496592178 -13.1203313452524
"48.25/58.75/Control" -200.582782734442 -246.523680995491 33.7403997509141 65.776856527488 25.3848211349178 -17.8436233716445
"48.25/61.25/Control" -1126.45415910354 -210.232338430256 14.5624224615267 51.11430997912 16.8390496436955 -22.0177152123791
"59.25/61.25/Control" -813.372642102819 -224.358688660853 63.2236703695634 75.4335915382435 -6.94793750944738 -6.01244029355872
"66.25/58.75/Control" -634.824139471473 -7.07278640675295 154.414845193047 34.7490906708535 -67.5806508168974 14.6485086804447
"68.25/59.75/Control" -1469.95249625775 -80.9719004241245 95.9548295459842 36.1885753974967 -30.4884690220853 13.6864638366887
"69.25/57.25/Control" -2442.78952300859 -110.773932576648 34.1826951207968 37.7024706571278 -36.2025758419079 8.36342405788423
"71.75/65.75/Control" -350.254746541465 -137.482852013277 31.7642107121785 22.9967159838504 5.02519367800152 10.1784579394423
"84.25/61.75/Control" -701.066678270846 -178.102669660117 29.1899529913133 43.8390374238248 -10.8652364533636 13.6090467255532
"86.75/59.75/Control" -1540.63223153015 -39.5825441251761 24.8045787689001 -3.86453050778955 -15.716503456482 1.77035454871196
"-151.75/61.25/Control" 4388.00408673555 -93.9961320490634 12.6630103383009 31.7957678709488 -18.1900430638999 39.8382574910311
"-149.75/65.75/Control" -4493.03198034554 12.6727249519681 24.3840595610571 21.1878816843338 -3.44066864775963 -14.8546984468012
"-103.75/54.75/Control" -2421.08400356594 331.372148315944 59.8184655757521 19.5017193895731 -0.00614560572042495 -12.7393709004023
"-100.75/57.75/Control" -2433.02214870336 158.828192009787 60.0711252315206 10.8161816678733 -21.7405737617442 -15.4812687143268
"-96.75/56.75/Control" -2418.31565857138 -13.3754601590755 76.5460237121845 -7.65330333444518 9.40287294582219 -21.2114437560631
"17.25/63.25/Control" -951.108835665008 -10.4565951856715 105.125913322564 -3.59106320877629 -6.72953333009998 2.71434876453161
"45.75/66.25/Control" -1095.54408757428 -34.6540160538711 123.680728281498 27.0716487507587 1.93970801547366 -15.88328917675
"47.75/65.25/Control" -1777.77218053361 -54.3049670280867 101.130927579025 19.8522629416078 -18.3083013458604 -17.0948057795977
"51.75/64.75/Control" -1127.81134960978 -113.386462225571 96.3336136129144 38.2079846512413 -11.1372735304944 -17.65876209146
