"PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "Cluster" "scenario"
"X75.25.58.25.1" 158.121853040931 -94.3111201995137 141.145827655068 3.88538732923354 -67.0241148307691 -13.0254495018582 -14.0849486838871 4.90908859644284 -10.2028454279484 -15.9364845428133 2 "Control"
"X79.75.63.75.1" -880.055141932598 64.4587878161647 9.01652209880905 71.7791505457246 22.7180467654103 -105.730169540271 7.59216047216849 -1.85993529519714 -2.290328545226 -0.502327900052385 3 "Control"
"X80.75.64.25.1" -815.653669420904 204.42529902388 38.0818861453131 66.3152587994226 36.9946666949239 -75.6287129764268 -38.2664554975687 -37.1330304956065 -0.979937522080199 4.31512042550485 3 "Control"
"X140.25.49.75.1" -998.137726446144 -142.767388706032 -26.2494470573865 5.74001453950892 -2.37597535125688 40.3294056890092 -29.3347683826537 -23.0469985096917 -0.681475548024521 -0.852255459247876 3 "Control"
"X143.25.51.75.1" -1048.69902451787 -269.084375561996 -35.8642593953047 15.1223742551506 -8.73489982724077 -32.0323929289837 37.2991833211643 27.9366856089013 -1.79155306664778 -3.13262065003682 3 "Control"
"X145.75.59.75.1" -910.239630239545 87.2547597253301 10.5714476214001 59.5469511022188 18.7513159400811 -34.1242763275655 -53.1006009985897 -38.8554962075638 -2.17381343064863 0.702070728535163 3 "Control"
"X.125.25.57.25.1" -857.827791935618 -38.2460344418773 130.917355681687 -125.295263247885 57.5535908196742 -30.0134885840828 68.3567457954969 -4.43489039521798 -0.137222629287979 -0.998710321485028 3 "Control"
"X.123.25.59.25.1" 695.971853625074 -91.9375903378827 103.091939372014 -4.79975245190665 -55.2488743989009 -9.50502386742652 0.981271979435045 -0.252559854025199 -16.7084692928446 -6.84941610174644 4 "Control"
"X.98.75.55.75.1" -911.418840817585 -97.0200771514758 7.60812956377243 19.0416493270842 17.3645692141571 -69.2561537116431 28.0593671847249 6.35315005888188 -1.74842752082044 -1.68101156378806 3 "Control"
"X.96.75.52.25.1" 1090.88437638857 -92.902556082001 70.3815229446841 37.5536170749598 -76.0564907753776 -16.639723158036 -9.43257764645235 -8.08788364148287 -18.8626344555445 -8.16912930769963 4 "Control"
"X.93.25.54.25.1" -157.749250168514 -30.8130090823981 105.358895051583 -2.90424395282248 -12.9469930191591 -56.7666584608306 11.1977040792701 -10.7812434843525 -5.87065355935232 -7.68906214210469 2 "Control"
"X.89.25.54.25.1" -936.194975141079 -34.3753381964818 -3.67932904417843 60.3278800239394 13.4324744463626 -94.048367673504 13.824081306936 7.11723469119382 -2.33185319514918 -0.731949712266006 3 "Control"
"X.84.25.49.75.1" -867.663459172547 -187.674725446079 14.0427216299959 1.52805431298238 -2.08038501849886 -43.9077378356953 31.1240133485211 12.5835059796014 1.26051723402617 -4.96083649076118 3 "Control"
"X.80.75.51.75.1" -503.327334672844 -111.184130799695 42.1861831842778 -15.0263981078192 12.6730547059172 -53.8865513625922 33.3034240862028 6.95018270177834 -5.56950335287775 -3.58047089895465 3 "Control"
"X.58.75.54.75.1" -779.491644120683 391.281215638709 83.6968158297439 82.306526320894 49.4910141333612 -121.935647815068 -25.2851602384619 -20.2718628690598 -2.57317043402891 1.30099689123043 1 "Control"
"X.53.75.48.25.1" -799.510088794429 237.114036307009 9.23480378062275 -109.706118993337 -25.6934134751949 -14.4406778233366 2.79533371240239 16.5117563608725 -7.73154769194877 8.94463137525763 1 "Control"
"X24.25.67.25.1" 187.561153689782 -67.0665017300985 104.287977395743 21.2979217857958 -47.7387463370436 -41.1728362414169 -6.15939324017987 -3.5638291273438 -10.2312204418003 -10.7175238282198 2 "Control"
"X33.75.65.75.1" -1059.65415373514 -275.951168677203 -56.8278131398547 45.37018266952 -15.7962447755633 -50.3415802009028 27.1597803387816 31.578619199753 -3.47425638342279 -1.02995668531093 3 "Control"
"X35.75.58.75.1" -731.983840462508 -182.62733407778 42.19166577251 -18.8251267137586 -12.4376985611409 -26.54185612426 29.815056591369 8.84762664152325 -0.803121504316437 -7.51683118748152 3 "Control"
"X42.25.59.25.1" 522.424129953238 -133.689165781864 118.479047057389 18.6050620460113 -73.4818182270591 -12.0767209770844 -23.4209007772155 13.2259819762112 -14.049560508577 -12.9943575793841 2 "Control"
"X46.75.65.25.1" -990.966144516287 -224.381625636635 -20.2297133152779 16.7236799766294 0.853685281041793 -52.002685381074 32.9942436951144 18.9696682495655 -1.1699355324396 -3.83349047454038 3 "Control"
"X46.75.66.25.1" -870.780598493551 -115.930808545152 1.23599396239545 35.3154524551489 10.3893423776365 -80.7686117780899 24.233531675873 2.03989275763619 -0.0334706349365664 -2.60062937797917 3 "Control"
"X47.25.64.25.1" -600.824537371988 -20.0757411896156 29.7447377161461 3.33233601083668 31.7573443199323 -24.8452822794791 -27.1096230118867 -21.880264392771 0.884141954302241 -2.36739209232208 3 "Control"
"X54.75.61.25.1" -1031.32938945264 -236.759193114408 -42.6971247612775 21.6328319085638 -8.18511297679641 -15.6294087721691 5.88835702016517 5.65686815767036 0.149713388750162 3.18927051692366 3 "Control"
"X75.75.61.25.1" -940.616834288261 -85.2139317134344 14.3930283277833 21.8272163894716 16.7125853694708 -78.0564068873681 26.306203916072 9.04319315066516 -2.48069765200581 -0.675678336902445 3 "Control"
"X92.25.59.75.1" -790.851757110949 22.752349618453 106.593233580591 -67.9763438118676 58.8903439111123 -41.5643811096666 20.4618688470772 -36.4165441238835 2.31130819574338 -2.0906880945942 3 "Control"
"X142.25.59.75.1" -793.780909783238 679.348605133571 49.8057958460261 135.465575469688 45.137408648614 4.1962902981989 17.0136169316549 1.06281946460116 4.60084226583969 4.71483127596252 1 "Control"
"X.158.25.60.75.1" -994.622254113723 -124.038170811038 -24.5280304440239 63.5662499778272 0.810029632493923 -79.456202565562 7.00017088707837 10.6701286493956 -2.2013029057006 -2.02108262798562 3 "Control"
"X.143.75.67.25.1" -877.127252360996 44.8502184942666 64.5802707367302 -24.9472739026266 37.3007105296647 -16.598193791949 -25.2953369096347 -36.6829070279922 -2.68265309723452 0.87451853728547 3 "Control"
"X16.25.61.75.1" -981.904270513387 -191.11742889473 27.7092517843197 -37.9848651037439 14.1058617487933 -26.165800705229 45.2506000107005 12.8242084765087 -0.386870313415056 -2.77630744524938 3 "Control"
"X39.25.60.75.1" 658.965945543093 -104.313865530195 98.3552216258793 11.1752959106232 -55.889523454103 -15.8304426345043 -10.7522220160553 10.3409947678229 -12.179383731269 -6.61312492119129 4 "Control"
"X44.75.61.75.1" 118.725444564965 10.7071398849515 39.8404844133038 1.5396199607631 44.3072749031197 -19.8719226896057 -39.0321705405897 8.0911611863936 2.21270892208551 -8.75708152032099 2 "Control"
"X46.25.63.75.1" -422.846682890336 -114.652792405891 52.5661119290114 19.9519338651831 -12.4574883956744 -60.7521472215207 9.30248894003571 5.19790773135943 -3.68691934782791 -7.32247932406509 3 "Control"
"X69.25.58.75.1" 1029.57651345031 -88.2450107338236 80.307762298479 36.246428729721 -74.871611378137 -16.906739947262 -15.2245194515315 -4.16640358689046 -14.5145546044551 -7.25445628244846 4 "Control"
"X71.75.65.25.1" -846.53761525169 244.42915300757 28.2997977775552 113.114774966477 29.2280615604727 -129.803542647239 -27.8927014579155 -12.9411269935915 -2.9011355591702 0.996840496591137 1 "Control"
"X96.75.55.25.1" 438.18685224653 -105.501497262446 125.014948252284 15.1458891246191 -71.0336475571532 -11.4212798291231 -20.2148646517356 4.46105441046229 -9.19838062003614 -11.8756497176507 2 "Control"
"X99.75.57.25.1" -387.962778844128 91.9415087721181 178.317918296536 -134.816013649809 97.4577957694943 -56.1533266190595 55.5578376971125 -17.6198254925541 -5.50874066922356 -3.49218059358915 1 "Control"
"X104.25.50.75.1" -1085.57419724843 -318.639212266733 -82.9491514155476 58.6126540814468 -26.8261227793977 -35.0603619903519 22.5744266039187 33.578617813089 -1.90386946067186 -2.94415249428256 3 "Control"
"X110.25.49.75.1" -973.839905186681 -205.962443027221 2.61993954012597 -12.7789793541523 8.11586047849132 -32.4685214689613 40.1648600257682 13.722536630457 0.225867685456891 -4.07497725421247 3 "Control"
"X.147.25.64.25.1" -307.221661325785 -63.8616855472922 99.9127157681982 -67.6010840065413 20.9500630745982 -25.2685081448909 33.7549654532166 -4.32319083198398 1.2151711051956 0.552439072722412 2 "Control"
"X.111.75.58.75.1" 863.418163128141 -53.1956689223914 94.3085088860149 29.1018557130802 -62.4748252507669 -20.261818506948 -14.1522364205947 -3.24230391265207 -7.80925495789383 -5.95190153813344 4 "Control"
"X.109.75.57.75.1" -248.620979835896 -77.8115480106681 99.9536433242924 -30.0670042651083 -6.42628853794362 -27.8594077712618 18.05837955799 -1.15692825809244 -1.59749937944973 -5.52680309234415 2 "Control"
"X.93.75.55.25.1" -829.898045919838 -66.5206610833399 12.4922615833266 27.0038720637347 16.8139657690111 -55.477783224678 -5.66348553921923 -18.0654885929079 3.9671903293334 2.12002557626586 3 "Control"
"X.70.25.51.25.1" -864.345719073019 199.224575712246 34.2101147759268 90.5265224709705 30.0946913712782 -118.32038513686 -13.1918828151861 -7.38287775841159 -2.32511719634368 1.38457795612723 3 "Control"
"X15.75.61.75.1" -1008.08993390241 -210.091341439329 12.6440101487564 -22.0851276486812 10.4118685867256 -34.6066139099617 37.032924256836 11.3594770804187 -0.14947065035472 -2.80073960818584 3 "Control"
"X26.25.62.25.1" -486.742544298093 701.425624498377 -94.245510529827 -118.13432567723 -89.4651896455478 -37.0226979523566 -36.0824250982496 22.9100003738131 -10.8403096553762 11.3637115614253 1 "Control"
"X31.75.65.25.1" -1076.98972243136 -302.85322189122 -76.0799208800401 59.2988341894253 -23.4142890949007 -43.7868442398437 19.5625362818051 30.9137672571244 -2.32297879149145 -1.49568478921842 3 "Control"
"X35.25.66.75.1" -1071.98195118025 -298.674475220291 -66.6985885569513 45.8992979350001 -20.6408966986243 -36.9601713834513 22.6289782665231 30.4890454283114 -2.39378983005933 -1.14297380862405 3 "Control"
"X43.75.62.25.1" -1036.33813637004 -264.809162417526 -37.4803453046545 13.8608741954527 -8.29390541412765 -37.4057327184228 34.0300767229978 27.6844149357761 -2.87815672518554 0.823125227728863 3 "Control"
"X46.75.58.75.1" 725.141170805951 -107.971102262316 120.619682734592 16.7313474067234 -71.6244628648672 -8.16469883073004 -26.8066460411104 10.0197303662253 -8.97584325640749 -8.09423099478671 4 "Control"
"X57.75.54.75.1" 996.40551814911 -102.681608933352 85.3765229563343 21.8693530929048 -71.8038474628712 -8.88239248647854 -13.9724413905452 1.11060131941373 -10.5938826970741 -4.30180774105284 4 "Control"
"X65.25.59.75.1" 439.587988434642 -69.3470658648448 128.25807533418 10.2411593227858 -57.0393868518256 -18.0449063286903 -21.0053850834589 6.46181096700917 -4.71792528223817 -8.26476558675427 2 "Control"
"X71.25.64.75.1" -930.295536040559 40.9837562672862 -11.7793236494255 97.475383143767 11.3345218588249 -108.573169946424 -7.02740683831989 2.93417262463711 -2.4290389742679 0.544121970747448 3 "Control"
"X85.25.60.75.1" -668.19748573944 -24.4267286766848 121.042719033114 -61.4196691466013 36.6831882282385 -48.3261864399712 31.7923541349545 -14.3937862423828 2.62783746160592 -6.57371517734732 3 "Control"
"X89.75.58.75.1" 705.225472453362 -54.3568596534778 155.417675718397 15.7014705917347 -72.2860635562505 -17.6185518116645 -32.3628864905627 13.3537298312069 -7.63621670236175 -9.91211632773267 4 "Control"
"X92.25.55.25.1" -263.16541227506 -100.244370947332 137.539596447643 -20.8224819751586 -48.4996439097067 -17.81179613451 -0.0784668080994528 -9.75817860195719 2.50133325343733 -11.0317604365354 2 "Control"
"X136.75.55.75.1" -994.765534077349 -123.821689760927 -27.2558958600314 61.6515690153274 0.566060269191331 -79.4709936425798 16.4653615876526 17.9072279042921 -2.18349440019233 -0.102120485493832 3 "Control"
"X140.25.58.25.1" -771.742228695481 387.693355446015 114.169485876645 47.5742923732086 62.2920985843953 -115.554669293098 -21.4237510636019 -34.6755108521837 -0.450755658807707 0.782985860139232 1 "Control"
"X.130.75.59.25.1" -853.647243855243 246.783398729268 6.30354255509173 139.300575324824 21.2039243994908 -129.967989649308 -39.7066581398673 -12.5900685829489 -2.61108615356174 1.42604605057237 1 "Control"
"X.122.75.57.75.1" -353.136042485602 -48.2310766333389 111.714882597242 -80.4076253946294 26.5980061988399 -25.7269364858827 40.9150390108803 -7.74472005772198 1.24392682147924 -2.09747390631188 2 "Control"
"X.116.25.60.25.1" 303.587081479954 -29.5347082771392 119.55593112224 -15.3226005505007 -28.2973105735013 -28.0565059973304 3.48110467303473 -8.89413144935132 -1.29747385036541 -2.95524383829998 2 "Control"
"X.114.75.58.25.1" 1051.16149478562 -61.9301694337724 27.1937821302986 17.1607370970089 -13.1302936570417 -8.41436598292255 -18.1314245312795 10.1407373200051 19.3255438504487 9.14049432839218 4 "Control"
"X.96.25.56.25.1" -845.129043399338 -60.6870602546453 49.2471044707042 -4.95621610286843 24.3824522733236 -66.2992246824383 26.7071394774749 -4.11379645137012 0.312696540355352 -1.37215460127423 3 "Control"
"X.95.75.51.25.1" 974.874702791504 -59.1657856563104 20.3227129824316 15.9604534763076 12.4947393168587 -9.33406146519083 -34.571240212872 23.9296935417854 17.4780347159415 4.63601105966408 4 "Control"
"X.94.25.51.25.1" -682.056676972105 550.875351561873 61.8122674162937 103.086611993957 25.2302978951097 28.038322369473 30.5944846880853 0.875006219472354 3.65022433373077 0.480554406220507 1 "Control"
"X.88.25.53.25.1" -995.483597699154 -154.62469039654 -30.0607056969262 48.271648315896 -0.0901109504278936 -64.2621472410967 14.9462540016345 10.0867761710929 -0.665953032442884 -1.11681583717928 3 "Control"
"X.88.25.55.25.1" -692.324862387889 88.0943200029008 17.5828664565333 64.1515942169562 32.5313836226748 -105.557455314966 -0.0242105271067072 -2.77944168862839 -3.9310316334415 1.3044347690254 3 "Control"
"X.87.75.53.75.1" -940.626848494447 -34.1867165779367 -26.8803537129583 65.3824256245271 6.37066136300738 -37.0085210353459 -35.2148380829585 -27.7139246290968 0.274899186876423 2.88393955712064 3 "Control"
"X.73.25.51.75.1" -916.62619107857 77.6619802287805 3.46313092040773 85.0270147882295 17.0782713471912 -94.8186597307933 -12.1988592554129 -5.72034327820456 -1.10588627845555 1.38842922360803 3 "Control"
"X33.75.61.75.1" -1024.14833960895 -226.397673670219 -18.3478718703848 11.1754083938301 -0.126122448064409 -44.5784198355433 28.6356585400566 18.0965749293595 -1.55081869421769 -0.165486064189986 3 "Control"
"X35.75.63.75.1" -1044.80201846423 -250.199228307527 -49.4314293874066 43.9910761723216 -11.554410366352 -52.210340108317 19.7732367182712 22.9116821502768 -2.29211361596335 0.179780733441864 3 "Control"
"X43.25.56.75.1" -99.8937791286547 529.368995540623 86.5759027853942 112.8582562741 -20.8943363253291 45.8883053169997 11.1836359244955 5.82892311651754 -2.133733191624 -5.43301252174225 1 "Control"
"X44.75.58.25.1" 1052.22861411673 -117.784068521423 70.7172455268081 23.9258566181849 -63.6550102799755 -8.58119223092675 -17.5281619767401 6.9712761837659 -9.07583841111043 1.23856639957721 4 "Control"
"X90.25.58.25.1" -594.599791144132 -131.729210314006 60.262022687666 -1.40482816102624 -21.4970625048077 -25.3747720775317 15.3352020148827 -3.88524892363313 3.06148621277895 -6.26833714303308 3 "Control"
"X98.75.55.75.1" 282.079516531304 6.44630269988266 73.8269751467532 -19.6180941421626 46.0230394841045 -3.46484066654921 -45.4833779476511 30.5510437816253 4.09547002388737 -12.7134839490636 2 "Control"
"X.157.75.64.25.1" -1054.39738725135 -245.582398021836 -75.1333116241795 83.0227929301217 -20.2667015543599 -60.8352050949569 0.635149763294533 17.5960701879959 -1.43958012103811 -1.21955988567621 3 "Control"
"X.110.75.55.75.1" 1017.58784282692 -79.2550377359178 63.6712863722015 12.9269568458901 -52.1551274775842 -5.5086540890646 -3.57053237830899 -1.26616627790086 -0.395308492601066 3.61933414640241 4 "Control"
"X.109.25.56.75.1" 945.356468665162 -79.3625880802489 74.5648399754143 21.361602887562 -53.7514408651599 -15.2690365513846 -13.835398312018 -0.682109831261999 0.280425961185698 0.808991450627568 4 "Control"
"X.104.25.59.25.1" -1009.48267427345 -160.254594448705 -33.8784037834521 51.8995911289222 -3.2853360331747 -59.495410777438 11.2972501405258 14.1225265783526 -1.51888934293813 0.862612368870495 3 "Control"
"X.101.75.52.25.1" 1087.23720527241 -86.4679172122107 57.150079719506 27.2097699662627 -54.852754980832 -11.0273865600199 -11.9770903468496 0.745780185068698 -1.34701795440949 3.18579736862017 4 "Control"
"X.77.25.55.25.1" -723.251407949008 565.66282566282 63.0743665719815 149.449220568633 45.4716481462809 -125.6246568755 -78.0352026966906 -39.5083502205809 -2.62377153342615 3.80514366719296 1 "Control"
"X.73.25.53.75.1" -818.019053337882 317.685839681828 48.936582079725 97.6651130973537 36.4230303835974 -106.119983093573 -37.7838129646708 -22.4827069965037 -1.81716831171317 2.82640093108345 1 "Control"
"X15.25.61.75.1" -1016.46272250552 -237.085202502175 -7.25465638993571 -17.4250305950364 1.40355656981357 -14.3234617609365 34.4525350835245 14.979572365133 0.829312304155047 -1.52705986579138 3 "Control"
"X28.75.62.25.1" -412.130209827822 -43.1744744062261 46.9969193676403 -37.1544038286678 35.1462831471783 15.7650443910973 -18.9731111539422 -2.21180935715542 0.884184924714958 -5.10571487869579 3 "Control"
"X41.25.63.25.1" -280.955991909167 -84.6256509486366 70.6057663293854 -10.4742670537 -6.67724108889338 -35.4486298046227 13.3572607841349 1.73820229476122 3.6074454169393 -3.27170844648145 2 "Control"
"X52.75.59.75.1" 716.180570551801 -108.010409915819 91.9804300465289 8.98557201528138 -54.6048955170547 0.646096651404209 -19.0130572234543 12.9867401067085 1.24913257366274 -1.4860416300061 4 "Control"
"X55.75.58.25.1" 1081.94437208015 -99.6560028277064 54.2127273412981 19.8881939521782 -56.5347485988503 -4.20048334358465 -7.41408166585906 1.91158236550893 -0.425860580130688 2.56149239778578 4 "Control"
"X73.75.62.75.1" -868.434895347359 60.2616630158052 28.5683487240999 48.2904196940649 30.2743015421663 -99.8521837953137 7.53226918177561 -8.99033028658984 -0.770380370047028 1.20138168483648 3 "Control"
"X82.75.63.75.1" -943.373270084089 -17.0147478768252 6.63454532548045 53.349298915798 16.2830203296034 -87.1866166918813 6.98155883353794 3.98753554957834 -2.29911517290462 3.07101367143634 3 "Control"
"X96.25.57.25.1" -876.312925670809 -56.4807248520774 90.9779666670492 -75.54462705647 46.0637794737254 -30.1896433185197 42.5993655085706 -18.6916994276743 4.38557539506838 -4.17725966136028 3 "Control"
"X106.75.52.25.1" 372.291856208468 42.1570194767393 121.142336215251 -56.3027916599313 19.1993867845306 -32.9246157413008 26.3194535335394 -15.1367952145596 1.90262153121697 2.04644242454268 2 "Control"
"X143.75.49.75.1" -1006.63945494373 -206.496434662341 -1.29560617002196 -14.6239516527556 6.70689952380045 -24.8768674696262 35.9646242521743 14.3036193798322 -0.0223662378554933 0.173743073476668 3 "Control"
"X.115.25.55.75.1" 447.117608363933 -91.4411797918081 108.138177145052 -22.7543831499164 -35.7904560397663 3.3926272881914 -5.3590372793905 12.1646838730609 5.79606488918727 2.03894477954019 2 "Control"
"X.113.25.55.75.1" 837.968268241702 -64.4211181151242 79.9525247576735 -8.22498385092239 -28.025520794747 -9.30476023598465 -3.65727889593202 6.83267524752056 1.43074421078981 7.64578462741835 4 "Control"
"X.95.25.52.75.1" 341.622356827148 -39.5660028469222 100.696285527772 -1.21345585801349 -14.9541208011047 -34.2455775594846 -11.1034939353254 5.97807919087521 6.03902764857692 -0.830513561535967 2 "Control"
"X.91.75.53.25.1" -17.6910817543656 -68.3461439239526 103.842231835877 14.2685953720304 -33.7225742662753 -38.8113539101347 -18.0953014608101 -6.22772596378166 10.0963868852337 -3.25494624480795 2 "Control"
"X.90.75.55.25.1" -619.523827830768 25.7482370314655 30.6080219355699 37.7101617660225 26.2403764488232 -81.7744435602254 2.2859818492184 -5.10524162911754 -1.10908604675675 1.30828434465248 3 "Control"
"X21.75.66.75.1" -1084.57501538186 -317.298136618681 -84.986623780685 42.5995720896887 -27.7865519600744 15.0556560873039 -15.4182528837497 3.32606969077203 0.354484280845867 1.8603119891127 3 "Control"
"X36.75.66.25.1" -842.759805408495 -103.517131830037 58.6496841721482 -52.0391479102133 31.3607061032836 -39.8293701600518 39.1744602238477 -4.91745799110086 1.113677851081 0.514811146504882 3 "Control"
"X63.25.64.25.1" -744.28449209632 -17.7638578445819 7.48109314174192 55.2295697130615 13.3300940064993 -83.6261230664464 -0.973024626961601 -5.19175478781137 -0.296174982288806 0.682998340612047 3 "Control"
"X68.75.61.75.1" 334.345556075781 -13.7781963634666 115.306391326352 26.91821818174 -36.7754957517857 -41.429138855296 -27.9080911283825 0.116512853137823 9.3764337381058 -3.40267480983429 2 "Control"
"X74.25.64.75.1" -909.679046701843 83.428455527278 -7.16386056999404 101.501532018748 14.7947638933634 -105.682422759439 -17.9672971335611 -6.69331162552322 -1.33927830741078 2.03199547051851 3 "Control"
"X159.25.57.75.1" -1078.44956873115 -311.573140337537 -68.2895129967818 36.2426434358614 -22.0121302812664 -17.0475013188491 17.1743146381726 25.56685655582 -0.899261111140889 0.213170568986117 3 "Control"
