"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"-124.25/61.25/Control" 4382.4240367645 -59.0373391788577 -45.6856456853751 -0.422495085245323 -4.30564514574617 9.25746885334009 7.23345088739908 -0.439834876782226
"-123.25/57.25/Control" 1288.70963526801 -22.7488233602927 -130.587278246057 36.2840297624706 15.4332391659375 -5.20551092949708 -1.03797345926241 0.709424846411774
"-74.25/50.25/Control" -3276.4840031342 14.4779747976337 -120.927442133972 -12.3809813431599 -4.29108940311938 6.10688724815135 -1.27118259112975 -0.3111341210433
"23.25/66.25/Control" 866.91652066565 -84.2706500515613 -155.432210948817 30.1068139120555 -31.2469570391249 -9.41242980846817 12.0451138547071 2.40079654955
"27.75/63.25/Control" 75.8085427966054 -15.8829149591044 -192.21407739369 0.136977028406134 -51.8929424109571 -16.5900922334706 7.28566343822824 1.11496350851652
"36.75/57.25/Control" 446.285602188165 205.398466086954 14.5445495073197 -70.1269968921499 47.2380529678524 -5.25602497478561 -1.85475943936957 -0.484131214898656
"52.25/61.75/Control" 1068.55746221765 295.717391729442 -36.5682183115532 -62.4662826776678 17.4698853026999 3.08227154223732 9.33264326761903 -2.94393989883031
"61.75/58.25/Control" 1509.42744159556 69.7642828337211 -102.051231867335 -27.5736631744193 -43.6642743432772 -0.434564544841619 2.55334024642952 -2.17727709094177
"62.25/64.75/Control" 685.010632460488 318.801336859671 31.0466428571388 -59.9080252207349 -4.95642789810445 10.3517106860858 9.99384509712104 0.399523662651188
"89.25/59.75/Control" 1189.60392579804 96.1563393092758 -30.6986417019924 5.99750639631627 -14.4618339441463 -1.58087989479629 0.232607366445481 -1.19005941340716
"102.75/56.25/Control" 2882.51911589807 -81.2969219721705 -82.1951543746389 10.7796632159179 -9.24431407814157 -0.473265486366445 7.35198062216149 1.17984301504246
"140.25/50.75/Control" -274.708104084653 -33.7291786481359 -127.862991207319 -72.2725076293763 -7.71199545679485 21.3725073178147 16.9141710101252 2.19292487625963
"-154.25/63.75/Control" 3178.85809328054 -14.4984783319775 -50.8987084064037 -16.4876055410627 5.37756166561193 -5.40631508001356 0.667203151742387 1.8165469092478
"-144.75/63.75/Control" 2827.15578561497 11.806975257427 -106.156981174414 -12.2922225622794 -34.7779288073702 -4.60041483379153 2.17439008852089 3.15184404393029
"-129.75/60.25/Control" 2660.1546182373 58.2996777147258 -80.7118684768461 7.51704801864873 -6.24973447097956 1.70475362075559 -0.741823725293434 0.691919191416369
"-127.25/60.25/Control" 2597.79539935705 -11.0351227576386 -86.0921361876664 25.7226469947611 -5.90303387814048 9.21869950918952 1.87576377195634 -0.605160044363447
"-118.25/61.25/Control" 4353.06415517056 30.6363772660226 17.0574435413567 -22.9935163839168 -7.79397800642213 2.36240211439703 7.13488487798866 -0.691332345882868
"-116.75/59.75/Control" 3368.2887213368 -22.729863524451 -20.510974667522 -29.3476385041565 -5.219646248552 2.72680596583129 10.6651180495814 0.0465630541929268
"-109.25/54.75/Control" 3151.17272737223 -73.801753683133 -6.14088785640434 -25.2386673594808 3.54527513584062 -3.88091044503936 -2.64856546693212 1.62078428941488
"-101.25/54.75/Control" 2816.74998624806 -350.643709025652 -105.052578162742 8.8054334326058 -3.30650845587272 0.204399941808448 7.71310539224772 1.71947956246983
"-72.75/52.75/Control" -2070.51637160497 -161.720089198323 -157.709700416734 16.2355165375063 -14.2645133135191 -4.31824589410491 7.54510787620016 -1.7552822492257
"27.75/65.25/Control" 564.820265694117 77.5193599815009 -166.039613525002 -0.2917349135099 -55.9129252328486 0.0443318026172703 11.0315163231182 0.238538582363394
"28.25/65.25/Control" 23.0096668271984 58.991853253505 -186.443469500112 -3.75483129910697 -58.5483746424929 -1.37206081247241 12.8323143696653 0.333883874302563
"33.25/63.25/Control" 1162.53030625474 4.83101184703629 -172.545472768613 -35.0736359085716 -27.7588986958441 -6.74831630427921 11.1263062378082 0.897204830439411
"35.25/57.75/Control" 273.746453240842 138.541965479955 -49.9211809205272 -61.6012694414025 23.7976227806518 -10.4131485107675 0.285270409336186 -0.517207628280777
"44.75/65.75/Control" 1020.65175023916 43.5112907609728 -92.4397486480861 -26.9983809481931 -9.40539054335403 6.53393151473254 9.86469956468804 -1.37907725593688
"48.25/64.25/Control" 1505.68300868704 93.5205818346598 -97.1074021607502 -37.4055629504233 -3.7684763233009 1.55133567104526 11.8927770407487 -1.55683299155898
"60.25/59.25/Control" 2033.55409757102 250.904940878425 -15.5955542713526 -69.9619840781166 1.81333314050156 3.55804183580421 3.09733206968403 -2.07027949391589
"61.25/64.25/Control" 1041.39213502055 265.339265668745 15.1104161900021 -45.9061339619429 -7.52647627755519 5.1669777608552 8.89719665533239 -0.686888129591055
"64.75/61.25/Control" 2037.08551358406 221.425841422655 17.8680314342584 -83.3593883592388 -2.19900343607971 -2.50247016209706 1.8680944623963 -3.5588217912997
"75.25/58.25/Control" 1387.04575536604 14.5501862996001 -23.9361984899276 -21.3240100294078 -42.4178850320918 -12.0179029879694 6.98008537119225 -3.31215440670106
