"V1" "V2" "V3" "V4" "V5" "V6"
"-124.25/61.25/Control" -46.9336901946114 4.37526040293403 -1.53880094838512 -0.35725751765455 2.55967038535165 -0.536318657894279
"-123.25/57.25/Control" -82.9208109923023 -3.86204955319841 1.62155646215952 -3.89855533444091 1.61966883240998 0.600051752212771
"-74.25/50.25/Control" 44.4186286629123 -5.50016713351424 1.79018163863519 1.66766808557744 -1.54868483702026 0.407458354842649
"23.25/66.25/Control" -27.0268257290583 -8.58786272876906 12.8150129667465 2.95279752099083 3.42262824992138 1.2381712844916
"27.75/63.25/Control" -10.0522977558668 -11.3154715413629 10.6860489425087 0.929832665753675 2.40541010248264 -0.495715839378756
"36.75/57.25/Control" 111.097112752055 -2.23011084822281 -7.62594468604842 0.952019167442312 -0.829471609675396 0.0943526628689014
"52.25/61.75/Control" 20.4738029481327 -0.768929758923661 -5.78785473521329 1.91072547254163 4.93710875295739 -4.24382701456681
"61.75/58.25/Control" 33.2358931008334 2.91899992306841 -0.742539253087573 1.46863934524437 0.269068842536821 1.16863756470049
"62.25/64.75/Control" 48.3626502507901 -2.20594824685893 -4.90362028592021 -0.195414135037594 2.84038620273128 -0.593045433939268
"89.25/59.75/Control" 8.61704901052958 -5.02850197855895 -0.416425416274555 -1.86596147130929 1.42790707916279 1.92685374850347
"102.75/56.25/Control" 69.2007338007524 -0.377825325774276 -6.39828767360907 -0.941037584180602 -0.191866866872625 2.36577640188992
"140.25/50.75/Control" 1.67533580895015 1.46940807756764 4.24687555510539 -1.33592311560916 -0.552757545838992 0.122391465261877
"-154.25/63.75/Control" 12.0794601149734 -7.23840594817491 7.16223538237468 2.77394815795184 -0.450512700904912 -1.14505680979265
"-144.75/63.75/Control" -75.0716371807836 -7.29071295975366 3.1344288056058 1.61200207593794 -2.90385078819294 -0.457023834836659
"-129.75/60.25/Control" -27.599280646579 -6.87589684460859 4.138954800938 7.70621106340979 1.03169788152341 0.741763646547782
"-127.25/60.25/Control" -37.1328595486148 -3.86350829969665 4.6688982543184 -1.83098066607662 3.91717368110921 0.38324184743772
"-118.25/61.25/Control" 31.9763162782581 -7.65168425388233 0.661384656758234 -1.538219738164 1.5658186463015 -1.49665408731685
"-116.75/59.75/Control" 26.6907425990366 -3.27199869384983 -4.76271811497803 -1.07103447683512 -0.182818156337462 -0.217926084843349
"-109.25/54.75/Control" 42.3322730739824 -1.85983907176576 5.69101031799712 -0.771645222731669 0.193400982601118 -0.552461197469464
"-101.25/54.75/Control" -0.0762531385348606 -5.44522957228474 1.23029389839371 -2.37147487695613 1.69423396156134 -1.16684409467492
"-72.75/52.75/Control" 102.01110557636 -2.65277119757614 -6.77583147760131 0.539507850781707 -0.552433037793532 -0.208441846485887
